variant,family,best_test_error_mean,best_test_error_std,final_test_error_mean,final_train_error_mean,state_delta_mean,saturation_mean,duration_sec_mean
dthreeq_ep_nudge0p1_lr3e3,dthreeq,0.16064453125,0.00621480569402239,0.16455078125,0.1513236464968153,0.04980718216763892,5.854252529037092e-07,280.70252855913714
dthreeq_ep_nudge0p2_lr3e3,dthreeq,0.162109375,0.011048543456039806,0.1689453125,0.15679737261146498,0.0670895096022861,2.3221868365180438e-05,272.1330249758903
dthreeq_ep_nudge0p1_lr1e3_steps20,dthreeq,0.17138671875,0.007595873626027366,0.1728515625,0.1614749203821656,0.06721197817011909,0.00016538263394529757,416.2068843781017
dthreeq_ep_nudge0p1_lr1e3,dthreeq,0.171630859375,0.00794114060902861,0.172119140625,0.1657046178343949,0.052188998159053764,2.7124703384538494e-05,318.3512384274509
dthreeq_ep_nudge0p05_lr1e3,dthreeq,0.171630859375,0.005869538711021146,0.17431640625,0.1651074840764331,0.03308656394102011,2.5563569376795277e-05,314.92768991249613
dthreeq_ep_nudge0p2_lr1e3,dthreeq,0.178955078125,0.016918082167060953,0.180419921875,0.17461186305732485,0.07056281979011883,8.937492194329946e-05,245.76871913741343
