variant,method,module_dir,seed,dataset,hidden_sizes,train_subset,valid_subset,n_epochs,batch_size,n_it_neg,n_it_pos,epsilon,beta,alphas,best_epoch,best_valid_error,final_valid_error,final_train_error,final_train_cost,final_valid_cost,rho_mean,rho_max,forward_update_rel_mean,backward_update_rel_mean,duration_sec,device,curve_json,training_iteration,config/experiment_name,config/variant,config/seed,config/dataset
epbase3q_legacy_10k_e15_w5,ep_threeq,EPBase3Q,42,mnist,[500],10000,2000,15,20,50,5,0.1,0.5,"[0.05, 0.01]",12,0.13500000264495612,0.15350000321865082,0.12800000286847352,0.2502178698927164,0.2818212862312794,0.33294206887483596,0.5265395897626877,0.0013049220231531322,0.0028783460899569173,870.5392499896698,cuda,"[{""backward_update_rel_mean"": 0.0003488408506030139, ""epoch"": 0.0, ""forward_update_rel_mean"": 0.0007435772246242118, ""rho_max"": 0.34521883898973466, ""rho_mean"": 0.28261259803175925, ""train_cost"": 0.7897309384346008, ""train_energy"": 55.01358391571045, ""train_error"": 0.6144000104963779, ""valid_cost"": 0.5882034340500831, ""valid_energy"": 56.24067344665527, ""valid_error"": 0.3565000057220459, ""weak_cost"": 0.35537115556001664}, {""backward_update_rel_mean"": 0.0003584521848327063, ""epoch"": 1.0, ""forward_update_rel_mean"": 0.0007750916909548588, ""rho_max"": 0.3869480749368668, ""rho_mean"": 0.31913269686698914, ""train_cost"": 0.4877783911824226, ""train_energy"": 68.25827794647216, ""train_error"": 0.26620000368356705, ""valid_cost"": 0.4452615249156952, ""valid_energy"": 80.89721656799317, ""valid_error"": 0.24400000475347042, ""weak_cost"": 0.21572840775549412}, {""backward_update_rel_mean"": 0.0004435573587810295, ""epoch"": 2.0, ""forward_update_rel_mean"": 0.0009191820473829882, ""rho_max"": 0.4181468216776848, ""rho_mean"": 0.33667503476142885, ""train_cost"": 0.4186543694138527, ""train_energy"": 107.04753674316406, ""train_error"": 0.2132000034749508, ""valid_cost"": 0.41540617048740386, ""valid_energy"": 143.02611099243165, ""valid_error"": 0.2270000025257468, ""weak_cost"": 0.1859752130806446}, {""backward_update_rel_mean"": 0.0005659180682093314, ""epoch"": 3.0, ""forward_update_rel_mean"": 0.0010288395641729587, ""rho_max"": 0.4435955882072449, ""rho_mean"": 0.34550991135835646, ""train_cost"": 0.3856614191234112, ""train_energy"": 242.3865320892334, ""train_error"": 0.19210000382363795, ""valid_cost"": 0.3782125809788704, ""valid_energy"": 401.1230596923828, ""valid_error"": 0.20550000358372927, ""weak_cost"": 0.1717568246871233}, {""backward_update_rel_mean"": 0.0007707382908537687, ""epoch"": 4.0, ""forward_update_rel_mean"": 0.0010754947104647623, ""rho_max"": 0.4653536056280136, ""rho_mean"": 0.3458250748515129, ""train_cost"": 0.3489612396359444, ""train_energy"": 1035.026174194336, ""train_error"": 0.1665000033006072, ""valid_cost"": 0.351280454993248, ""valid_energy"": 2160.6948400878905, ""valid_error"": 0.17650000281631947, ""weak_cost"": 0.15565832985937594}, {""backward_update_rel_mean"": 0.0011929962842892737, ""epoch"": 5.0, ""forward_update_rel_mean"": 0.0011287522710395183, ""rho_max"": 0.47949309468269347, ""rho_mean"": 0.3432235895991325, ""train_cost"": 0.3287241427004337, ""train_energy"": 7383.806400390625, ""train_error"": 0.16080000310391188, ""valid_cost"": 0.3288411347568035, ""valid_energy"": 18615.90431640625, ""valid_error"": 0.17100000374019145, ""weak_cost"": 0.1469809545427561}, {""backward_update_rel_mean"": 0.001659819723560479, ""epoch"": 6.0, ""forward_update_rel_mean"": 0.001146335836954272, ""rho_max"": 0.4961940385699272, ""rho_mean"": 0.34466686356067655, ""train_cost"": 0.32013682651519776, ""train_energy"": 62498.21927734375, ""train_error"": 0.15170000287890434, ""valid_cost"": 0.32927391946315765, ""valid_energy"": 139970.792890625, ""valid_error"": 0.16450000327080488, ""weak_cost"": 0.1431164189428091}, {""backward_update_rel_mean"": 0.0019709803847227252, ""epoch"": 7.0, ""forward_update_rel_mean"": 0.0012153369806145182, ""rho_max"": 0.5060341528654099, ""rho_mean"": 0.34397720831632617, ""train_cost"": 0.3141423929035664, ""train_energy"": 444202.76171875, ""train_error"": 0.1514000030979514, ""valid_cost"": 0.32906035959720614, ""valid_energy"": 1084880.771875, ""valid_error"": 0.18250000309199094, ""weak_cost"": 0.14050020019710063}, {""backward_update_rel_mean"": 0.0021414274773315857, ""epoch"": 8.0, ""forward_update_rel_mean"": 0.00120948079710547, ""rho_max"": 0.514664188683033, ""rho_mean"": 0.34241431003808975, ""train_cost"": 0.2952245785295963, ""train_energy"": 3771906.38575, ""train_error"": 0.137800002977252, ""valid_cost"": 0.29552862912416455, ""valid_energy"": 9022215.055, ""valid_error"": 0.151000002771616, ""weak_cost"": 0.13212378299981356}, {""backward_update_rel_mean"": 0.0023310573292826234, ""epoch"": 9.0, ""forward_update_rel_mean"": 0.001219612005830096, ""rho_max"": 0.5128552199602127, ""rho_mean"": 0.3404138335585594, ""train_cost"": 0.2804088580906391, ""train_energy"": 42985403.086, ""train_error"": 0.13170000265538692, ""valid_cost"": 0.289011599868536, ""valid_energy"": 124200025.44, ""valid_error"": 0.15100000247359277, ""weak_cost"": 0.12560297767817974}, {""backward_update_rel_mean"": 0.002465281834013407, ""epoch"": 10.0, ""forward_update_rel_mean"": 0.0012184156768458776, ""rho_max"": 0.5153566051125527, ""rho_mean"": 0.3412681878209114, ""train_cost"": 0.26980657279491427, ""train_energy"": 662106565.424, ""train_error"": 0.12940000262111426, ""valid_cost"": 0.280951833575964, ""valid_energy"": 1891675543.04, ""valid_error"": 0.15700000312179327, ""weak_cost"": 0.12123475235700608}, {""backward_update_rel_mean"": 0.0024848965016673343, ""epoch"": 11.0, ""forward_update_rel_mean"": 0.00123165159354587, ""rho_max"": 0.512414660692215, ""rho_mean"": 0.33625025081634524, ""train_cost"": 0.25695329694449903, ""train_energy"": 10417499106.56, ""train_error"": 0.12930000257492066, ""valid_cost"": 0.2766961423307657, ""valid_energy"": 31413862338.56, ""valid_error"": 0.1580000026151538, ""weak_cost"": 0.11579286689311266}, {""backward_update_rel_mean"": 0.002540508653401855, ""epoch"": 12.0, ""forward_update_rel_mean"": 0.00123329608276064, ""rho_max"": 0.5180931313633919, ""rho_mean"": 0.33115480333566666, ""train_cost"": 0.24518351530283689, ""train_energy"": 184318313721.856, ""train_error"": 0.12450000250339507, ""valid_cost"": 0.2607414976507425, ""valid_energy"": 556043405557.76, ""valid_error"": 0.13500000264495612, ""weak_cost"": 0.1107817459963262}, {""backward_update_rel_mean"": 0.002663621682556586, ""epoch"": 13.0, ""forward_update_rel_mean"": 0.0012411072492289502, ""rho_max"": 0.5241625371575356, ""rho_mean"": 0.3296111579537392, ""train_cost"": 0.24087147842347623, ""train_energy"": 3988043373740.032, ""train_error"": 0.12250000248104334, ""valid_cost"": 0.26172755256295205, ""valid_energy"": 13707165260840.96, ""valid_error"": 0.14550000261515378, ""weak_cost"": 0.1091231308169663}, {""backward_update_rel_mean"": 0.0028783460899569173, ""epoch"": 14.0, ""forward_update_rel_mean"": 0.0013049220231531322, ""rho_max"": 0.5265395897626877, ""rho_mean"": 0.33294206887483596, ""train_cost"": 0.2502178698927164, ""train_energy"": 125678212614193.16, ""train_error"": 0.12800000286847352, ""valid_cost"": 0.2818212862312794, ""valid_energy"": 473006462939955.2, ""valid_error"": 0.15350000321865082, ""weak_cost"": 0.11343817976117133}]",1,_workspace_ThreeQ_threeq_mnist_epthreeq_tune_v1,epbase3q_legacy_10k_e15_w5,42,mnist
epbase3q_legacy_10k_e15_alpha_hi,ep_threeq,EPBase3Q,42,mnist,[500],10000,2000,15,20,50,2,0.1,0.5,"[0.08, 0.02]",6,0.15000000271946193,0.15950000304728745,0.16800000308454036,0.3235755956918001,0.32780939802527426,0.3692652393579483,0.6103425553441048,0.002102260058212101,0.002597204940018618,488.2519165892154,cuda,"[{""backward_update_rel_mean"": 0.00025025010562482625, ""epoch"": 0.0, ""forward_update_rel_mean"": 0.0007344078141019636, ""rho_max"": 0.3541713557839394, ""rho_mean"": 0.2903385605216026, ""train_cost"": 0.7729615855813027, ""train_energy"": 49.91952902984619, ""train_error"": 0.5945000101178884, ""valid_cost"": 0.5573724392056465, ""valid_energy"": 44.53289985656738, ""valid_error"": 0.3280000050365925, ""weak_cost"": 0.5241188620328903}, {""backward_update_rel_mean"": 0.0002111665524117945, ""epoch"": 1.0, ""forward_update_rel_mean"": 0.0007133343966478396, ""rho_max"": 0.41135706996917726, ""rho_mean"": 0.3431316109895706, ""train_cost"": 0.450098691791296, ""train_energy"": 46.61624798583984, ""train_error"": 0.23860000341385604, ""valid_cost"": 0.3994863323867321, ""valid_energy"": 49.458333778381345, ""valid_error"": 0.22100000362843275, ""weak_cost"": 0.3029733370542526}, {""backward_update_rel_mean"": 0.00023234030908615184, ""epoch"": 2.0, ""forward_update_rel_mean"": 0.0008370624885978455, ""rho_max"": 0.44874476754665377, ""rho_mean"": 0.3739778636097908, ""train_cost"": 0.36370318046212197, ""train_energy"": 55.68789990997315, ""train_error"": 0.17850000336766242, ""valid_cost"": 0.35892348662018775, ""valid_energy"": 62.14900074005127, ""valid_error"": 0.18700000308454037, ""weak_cost"": 0.24542506527900695}, {""backward_update_rel_mean"": 0.0002979290683810199, ""epoch"": 3.0, ""forward_update_rel_mean"": 0.0010098848483632052, ""rho_max"": 0.4824588232636452, ""rho_mean"": 0.3864219265580177, ""train_cost"": 0.3348800671994686, ""train_energy"": 81.32180210876464, ""train_error"": 0.15880000287294388, ""valid_cost"": 0.34133239805698395, ""valid_energy"": 104.24934143066406, ""valid_error"": 0.19000000365078448, ""weak_cost"": 0.2264774789363146}, {""backward_update_rel_mean"": 0.0003882163071430409, ""epoch"": 4.0, ""forward_update_rel_mean"": 0.0011618410680449495, ""rho_max"": 0.5090423179864884, ""rho_mean"": 0.38400785201787946, ""train_cost"": 0.31792758882045746, ""train_energy"": 165.15327813720702, ""train_error"": 0.15210000295192003, ""valid_cost"": 0.3323960967361927, ""valid_energy"": 242.1101809692383, ""valid_error"": 0.17500000357627868, ""weak_cost"": 0.21511125460267067}, {""backward_update_rel_mean"": 0.0005169716228271209, ""epoch"": 5.0, ""forward_update_rel_mean"": 0.001287080601790024, ""rho_max"": 0.5342292308211326, ""rho_mean"": 0.38295206904411316, ""train_cost"": 0.306547762542963, ""train_energy"": 476.388212890625, ""train_error"": 0.14780000277608632, ""valid_cost"": 0.31211235404014587, ""valid_energy"": 870.9271875, ""valid_error"": 0.17550000302493574, ""weak_cost"": 0.20756623728573323}, {""backward_update_rel_mean"": 0.000723174691449567, ""epoch"": 6.0, ""forward_update_rel_mean"": 0.0013218531283703755, ""rho_max"": 0.560671989440918, ""rho_mean"": 0.38438018268346785, ""train_cost"": 0.2948558296263218, ""train_energy"": 2152.916026489258, ""train_error"": 0.1415000025033951, ""valid_cost"": 0.29759175539016725, ""valid_energy"": 4339.38341796875, ""valid_error"": 0.15000000271946193, ""weak_cost"": 0.19978028090298175}, {""backward_update_rel_mean"": 0.00112370959431566, ""epoch"": 7.0, ""forward_update_rel_mean"": 0.001420511354261292, ""rho_max"": 0.5784948495030403, ""rho_mean"": 0.38271896421909335, ""train_cost"": 0.28631666660308835, ""train_energy"": 14071.825848632812, ""train_error"": 0.13940000286698342, ""valid_cost"": 0.29944477304816247, ""valid_energy"": 36230.7448046875, ""valid_error"": 0.16800000309944152, ""weak_cost"": 0.19409700374305247}, {""backward_update_rel_mean"": 0.0015567210130177011, ""epoch"": 8.0, ""forward_update_rel_mean"": 0.0014607410898720443, ""rho_max"": 0.5947873880267143, ""rho_mean"": 0.37991164791584014, ""train_cost"": 0.2774966378211975, ""train_energy"": 129264.6311640625, ""train_error"": 0.13320000267773865, ""valid_cost"": 0.28389030292630196, ""valid_energy"": 307895.14125, ""valid_error"": 0.15350000318139792, ""weak_cost"": 0.1882357370108366}, {""backward_update_rel_mean"": 0.0018495482040361653, ""epoch"": 9.0, ""forward_update_rel_mean"": 0.0015169585811113198, ""rho_max"": 0.6025064889788627, ""rho_mean"": 0.3773980594277382, ""train_cost"": 0.2750471628457308, ""train_energy"": 1441195.96225, ""train_error"": 0.13410000278800727, ""valid_cost"": 0.2884421883523464, ""valid_energy"": 4137467.675, ""valid_error"": 0.158500002771616, ""weak_cost"": 0.18667463548481464}, {""backward_update_rel_mean"": 0.002028581893691904, ""epoch"": 10.0, ""forward_update_rel_mean"": 0.0015467493257418279, ""rho_max"": 0.6132296351790428, ""rho_mean"": 0.37745074009895324, ""train_cost"": 0.27127164775133134, ""train_energy"": 22061126.8865, ""train_error"": 0.13060000268369912, ""valid_cost"": 0.28631519109010695, ""valid_energy"": 66583548.4, ""valid_error"": 0.1540000029653311, ""weak_cost"": 0.18442085692286492}, {""backward_update_rel_mean"": 0.002258535361139569, ""epoch"": 11.0, ""forward_update_rel_mean"": 0.0016518724343834868, ""rho_max"": 0.6189553463459014, ""rho_mean"": 0.3772614302039146, ""train_cost"": 0.2753833515793085, ""train_energy"": 486115430.096, ""train_error"": 0.13190000282227993, ""valid_cost"": 0.3020256913453341, ""valid_energy"": 1700628090.88, ""valid_error"": 0.16850000336766244, ""weak_cost"": 0.18727019503712655}, {""backward_update_rel_mean"": 0.0024345085870150097, ""epoch"": 12.0, ""forward_update_rel_mean"": 0.0018234845526322351, ""rho_max"": 0.6249821972846985, ""rho_mean"": 0.3744208609163761, ""train_cost"": 0.2901775618195534, ""train_energy"": 13609318619.136, ""train_error"": 0.1414000027179718, ""valid_cost"": 0.3074896757304668, ""valid_energy"": 46479856476.16, ""valid_error"": 0.16850000273436308, ""weak_cost"": 0.197370200894773}, {""backward_update_rel_mean"": 0.002513920858789042, ""epoch"": 13.0, ""forward_update_rel_mean"": 0.0019651824023080773, ""rho_max"": 0.6227275154590607, ""rho_mean"": 0.37254663068056104, ""train_cost"": 0.30886967295408246, ""train_energy"": 384968694390.784, ""train_error"": 0.15630000272393227, ""valid_cost"": 0.3168544824421406, ""valid_energy"": 1366403323002.88, ""valid_error"": 0.16900000281631947, ""weak_cost"": 0.2101124267578125}, {""backward_update_rel_mean"": 0.002597204940018618, ""epoch"": 14.0, ""forward_update_rel_mean"": 0.002102260058212101, ""rho_max"": 0.6103425553441048, ""rho_mean"": 0.3692652393579483, ""train_cost"": 0.3235755956918001, ""train_energy"": 11158959380234.24, ""train_error"": 0.16800000308454036, ""valid_cost"": 0.32780939802527426, ""valid_energy"": 39711047585628.16, ""valid_error"": 0.15950000304728745, ""weak_cost"": 0.21993895395100116}]",1,_workspace_ThreeQ_threeq_mnist_epthreeq_tune_v1,epbase3q_legacy_10k_e15_alpha_hi,42,mnist
epbase3q_legacy_10k_e15_base,ep_threeq,EPBase3Q,42,mnist,[500],10000,2000,15,20,50,2,0.1,0.5,"[0.05, 0.01]",8,0.14950000278651715,0.16750000271946192,0.13130000258982183,0.2790059636384249,0.29928408294916153,0.36401014173030855,0.56751439422369,0.0007544746316237053,0.0011293704204469142,776.4476190092973,cuda,"[{""backward_update_rel_mean"": 0.00014053433662618943, ""epoch"": 0.0, ""forward_update_rel_mean"": 0.0004190152805942793, ""rho_max"": 0.33904933297634127, ""rho_mean"": 0.2775953893661499, ""train_cost"": 0.8906950112581253, ""train_energy"": 52.66147486877441, ""train_error"": 0.7440000133514404, ""valid_cost"": 0.7454073596000671, ""valid_energy"": 47.963699913024904, ""valid_error"": 0.5560000109672546, ""weak_cost"": 0.6070259445905686}, {""backward_update_rel_mean"": 0.00012504917791883525, ""epoch"": 1.0, ""forward_update_rel_mean"": 0.00040238793416379215, ""rho_max"": 0.3727185049057007, ""rho_mean"": 0.30626017826795576, ""train_cost"": 0.6101151452064514, ""train_energy"": 46.56510203552246, ""train_error"": 0.3903000070229173, ""valid_cost"": 0.5211497992277145, ""valid_energy"": 45.8166178894043, ""valid_error"": 0.3005000048875809, ""weak_cost"": 0.41051256680488585}, {""backward_update_rel_mean"": 0.00011649293778801426, ""epoch"": 2.0, ""forward_update_rel_mean"": 0.0003953256760377025, ""rho_max"": 0.4037247211933136, ""rho_mean"": 0.3372490476965904, ""train_cost"": 0.4564441485404968, ""train_energy"": 48.23995972442627, ""train_error"": 0.2456000036150217, ""valid_cost"": 0.4230965504050255, ""valid_energy"": 50.06098331451416, ""valid_error"": 0.22450000375509263, ""weak_cost"": 0.30723916000127793}, {""backward_update_rel_mean"": 0.00012192025784098707, ""epoch"": 3.0, ""forward_update_rel_mean"": 0.00042773712150630873, ""rho_max"": 0.4275416575670242, ""rho_mean"": 0.3582594836354256, ""train_cost"": 0.3901727765798569, ""train_energy"": 53.825171043396, ""train_error"": 0.19280000348389148, ""valid_cost"": 0.3791090841591358, ""valid_energy"": 56.20565082550049, ""valid_error"": 0.20050000291317702, ""weak_cost"": 0.26307383051514627}, {""backward_update_rel_mean"": 0.00013748726235927603, ""epoch"": 4.0, ""forward_update_rel_mean"": 0.00047950984999527103, ""rho_max"": 0.44718855994939805, ""rho_mean"": 0.36983641010522844, ""train_cost"": 0.35967101725935935, ""train_energy"": 62.18337297821045, ""train_error"": 0.1743000032454729, ""valid_cost"": 0.3595284852385521, ""valid_energy"": 66.9397272491455, ""valid_error"": 0.19150000378489496, ""weak_cost"": 0.2428276005834341}, {""backward_update_rel_mean"": 0.0001619473825757988, ""epoch"": 5.0, ""forward_update_rel_mean"": 0.0005339927701039667, ""rho_max"": 0.4643556342124939, ""rho_mean"": 0.375706250667572, ""train_cost"": 0.34076907628774644, ""train_energy"": 79.01155773162841, ""train_error"": 0.16160000284016132, ""valid_cost"": 0.3420058001577854, ""valid_energy"": 91.24119178771973, ""valid_error"": 0.17850000366568566, ""weak_cost"": 0.23028718309104443}, {""backward_update_rel_mean"": 0.00018417573221765358, ""epoch"": 6.0, ""forward_update_rel_mean"": 0.0005515252095578177, ""rho_max"": 0.4803494157791138, ""rho_mean"": 0.3754071843624115, ""train_cost"": 0.3252329229712486, ""train_energy"": 115.49057638549804, ""train_error"": 0.1500000028833747, ""valid_cost"": 0.3317705056071281, ""valid_energy"": 140.73523376464843, ""valid_error"": 0.16650000277906657, ""weak_cost"": 0.2199276626855135}, {""backward_update_rel_mean"": 0.00022083052163437823, ""epoch"": 7.0, ""forward_update_rel_mean"": 0.0006027762349972614, ""rho_max"": 0.4953885254263878, ""rho_mean"": 0.37288310384750367, ""train_cost"": 0.3169699382185936, ""train_energy"": 191.74917013549805, ""train_error"": 0.1471000032275915, ""valid_cost"": 0.3306018777191639, ""valid_energy"": 257.9389649963379, ""valid_error"": 0.17350000396370888, ""weak_cost"": 0.21444848966598512}, {""backward_update_rel_mean"": 0.0002655044052826655, ""epoch"": 8.0, ""forward_update_rel_mean"": 0.0006290517950354802, ""rho_max"": 0.5116582180261612, ""rho_mean"": 0.3702931109070778, ""train_cost"": 0.30985558927059176, ""train_energy"": 378.0821883850098, ""train_error"": 0.14080000289529562, ""valid_cost"": 0.31382690876722336, ""valid_energy"": 517.0258776855469, ""valid_error"": 0.14950000278651715, ""weak_cost"": 0.2096749532967806}, {""backward_update_rel_mean"": 0.00033093145854238247, ""epoch"": 9.0, ""forward_update_rel_mean"": 0.0006512679237174538, ""rho_max"": 0.5244736494421959, ""rho_mean"": 0.3699163920879364, ""train_cost"": 0.30244400665163995, ""train_energy"": 862.5521767578125, ""train_error"": 0.13750000271201135, ""valid_cost"": 0.3128035491704941, ""valid_energy"": 1381.8543627929687, ""valid_error"": 0.1515000033378601, ""weak_cost"": 0.20468332496285438}, {""backward_update_rel_mean"": 0.0004250576259024732, ""epoch"": 10.0, ""forward_update_rel_mean"": 0.0006650394872730503, ""rho_max"": 0.5376542220711709, ""rho_mean"": 0.37079387074708936, ""train_cost"": 0.29785881480574605, ""train_energy"": 2319.7449331054686, ""train_error"": 0.1395000028014183, ""valid_cost"": 0.3099663983285427, ""valid_energy"": 3709.3608203125, ""valid_error"": 0.15950000327080488, ""weak_cost"": 0.20166643573343754}, {""backward_update_rel_mean"": 0.0005696437165074432, ""epoch"": 11.0, ""forward_update_rel_mean"": 0.0006913624489844298, ""rho_max"": 0.5492203515172005, ""rho_mean"": 0.3703883227705955, ""train_cost"": 0.2935501966625452, ""train_energy"": 7233.717949707031, ""train_error"": 0.13840000282227993, ""valid_cost"": 0.31119553491473195, ""valid_energy"": 12858.50865234375, ""valid_error"": 0.16550000306218862, ""weak_cost"": 0.1988552390038967}, {""backward_update_rel_mean"": 0.0007701636496279344, ""epoch"": 12.0, ""forward_update_rel_mean"": 0.0007226682062715216, ""rho_max"": 0.5576106408834457, ""rho_mean"": 0.3693871616721153, ""train_cost"": 0.28685223749279976, ""train_energy"": 27600.19108984375, ""train_error"": 0.1323000026419759, ""valid_cost"": 0.30209956735372545, ""valid_energy"": 50776.8848828125, ""valid_error"": 0.16150000385940075, ""weak_cost"": 0.19437039303779602}, {""backward_update_rel_mean"": 0.000994125590864415, ""epoch"": 13.0, ""forward_update_rel_mean"": 0.0007433152355660478, ""rho_max"": 0.561927724480629, ""rho_mean"": 0.36634501433372496, ""train_cost"": 0.28198720413446426, ""train_energy"": 123121.2215234375, ""train_error"": 0.1337000026628375, ""valid_cost"": 0.30062199115753174, ""valid_energy"": 247534.1271875, ""valid_error"": 0.15750000305473805, ""weak_cost"": 0.19116859601438047}, {""backward_update_rel_mean"": 0.0011293704204469142, ""epoch"": 14.0, ""forward_update_rel_mean"": 0.0007544746316237053, ""rho_max"": 0.56751439422369, ""rho_mean"": 0.36401014173030855, ""train_cost"": 0.2790059636384249, ""train_energy"": 632237.61234375, ""train_error"": 0.13130000258982183, ""valid_cost"": 0.29928408294916153, ""valid_energy"": 1360057.71375, ""valid_error"": 0.16750000271946192, ""weak_cost"": 0.18924419528245925}]",1,_workspace_ThreeQ_threeq_mnist_epthreeq_tune_v1,epbase3q_legacy_10k_e15_base,42,mnist
