variant,method,best_valid_error_mean,final_valid_error_mean,final_train_error_mean,rho_mean_mean,rho_max_mean,forward_update_rel_mean_mean,backward_update_rel_mean_mean,duration_sec_mean
epbase3q_legacy_10k_e15_beta1,ep_threeq,0.13450000282377006,0.14750000279396772,0.11510000244528056,0.38481107592582703,0.5193744493722916,0.0004569216610168171,0.00014996047025894442,479.35117741767317
epbase3q_legacy_10k_e15_w5,ep_threeq,0.13500000264495612,0.15350000321865082,0.12800000286847352,0.33294206887483596,0.5265395897626877,0.0013049220231531322,0.0028783460899569173,870.5392499896698
epbase3q_legacy_10k_e15_base,ep_threeq,0.14950000278651715,0.16750000271946192,0.13130000258982183,0.36401014173030855,0.56751439422369,0.0007544746316237053,0.0011293704204469142,776.4476190092973
epbase3q_legacy_10k_e15_alpha_hi,ep_threeq,0.15000000271946193,0.15950000304728745,0.16800000308454036,0.3692652393579483,0.6103425553441048,0.002102260058212101,0.002597204940018618,488.2519165892154
