variant,method,best_valid_error_mean,best_valid_error_std,best_valid_error_min,best_valid_error_max,final_valid_error_mean,final_valid_error_std,final_valid_error_min,final_valid_error_max,final_train_error_mean,final_train_error_std,final_train_error_min,final_train_error_max,final_train_cost_mean,final_train_cost_std,final_train_cost_min,final_train_cost_max,final_valid_cost_mean,final_valid_cost_std,final_valid_cost_min,final_valid_cost_max,rho_mean_mean,rho_mean_std,rho_mean_min,rho_mean_max,rho_max_mean,rho_max_std,rho_max_min,rho_max_max,forward_update_rel_mean_mean,forward_update_rel_mean_std,forward_update_rel_mean_min,forward_update_rel_mean_max,backward_update_rel_mean_mean,backward_update_rel_mean_std,backward_update_rel_mean_min,backward_update_rel_mean_max,duration_sec_mean,duration_sec_std,duration_sec_min,duration_sec_max
epbase3q_legacy_10k_e15_beta1,ep_threeq,0.13450000282377006,,0.13450000282377006,0.13450000282377006,0.14750000279396772,,0.14750000279396772,0.14750000279396772,0.11510000244528056,,0.11510000244528056,0.11510000244528056,0.25339372709393504,,0.25339372709393504,0.25339372709393504,0.2738797751814127,,0.2738797751814127,0.2738797751814127,0.38481107592582703,,0.38481107592582703,0.38481107592582703,0.5193744493722916,,0.5193744493722916,0.5193744493722916,0.0004569216610168171,,0.0004569216610168171,0.0004569216610168171,0.00014996047025894442,,0.00014996047025894442,0.00014996047025894442,479.35117741767317,,479.35117741767317,479.35117741767317
epbase3q_legacy_10k_e15_w5,ep_threeq,0.13500000264495612,,0.13500000264495612,0.13500000264495612,0.15350000321865082,,0.15350000321865082,0.15350000321865082,0.12800000286847352,,0.12800000286847352,0.12800000286847352,0.2502178698927164,,0.2502178698927164,0.2502178698927164,0.2818212862312794,,0.2818212862312794,0.2818212862312794,0.33294206887483596,,0.33294206887483596,0.33294206887483596,0.5265395897626877,,0.5265395897626877,0.5265395897626877,0.0013049220231531322,,0.0013049220231531322,0.0013049220231531322,0.0028783460899569173,,0.0028783460899569173,0.0028783460899569173,870.5392499896698,,870.5392499896698,870.5392499896698
epbase3q_legacy_10k_e15_base,ep_threeq,0.14950000278651715,,0.14950000278651715,0.14950000278651715,0.16750000271946192,,0.16750000271946192,0.16750000271946192,0.13130000258982183,,0.13130000258982183,0.13130000258982183,0.2790059636384249,,0.2790059636384249,0.2790059636384249,0.29928408294916153,,0.29928408294916153,0.29928408294916153,0.36401014173030855,,0.36401014173030855,0.36401014173030855,0.56751439422369,,0.56751439422369,0.56751439422369,0.0007544746316237053,,0.0007544746316237053,0.0007544746316237053,0.0011293704204469142,,0.0011293704204469142,0.0011293704204469142,776.4476190092973,,776.4476190092973,776.4476190092973
epbase3q_legacy_10k_e15_alpha_hi,ep_threeq,0.15000000271946193,,0.15000000271946193,0.15000000271946193,0.15950000304728745,,0.15950000304728745,0.15950000304728745,0.16800000308454036,,0.16800000308454036,0.16800000308454036,0.3235755956918001,,0.3235755956918001,0.3235755956918001,0.32780939802527426,,0.32780939802527426,0.32780939802527426,0.3692652393579483,,0.3692652393579483,0.3692652393579483,0.6103425553441048,,0.6103425553441048,0.6103425553441048,0.002102260058212101,,0.002102260058212101,0.002102260058212101,0.002597204940018618,,0.002597204940018618,0.002597204940018618,488.2519165892154,,488.2519165892154,488.2519165892154
