backward_update_rel_mean,epoch,forward_update_rel_mean,method,rho_max,rho_mean,seed,train_cost,train_energy,train_error,valid_cost,valid_energy,valid_error,variant,weak_cost
0.0003488408506030139,0.0,0.0007435772246242118,ep_threeq,0.34521883898973466,0.28261259803175925,42,0.7897309384346008,55.01358391571045,0.6144000104963779,0.5882034340500831,56.24067344665527,0.3565000057220459,epbase3q_legacy_10k_e15_w5,0.35537115556001664
0.0003584521848327063,1.0,0.0007750916909548588,ep_threeq,0.3869480749368668,0.31913269686698914,42,0.4877783911824226,68.25827794647216,0.26620000368356705,0.4452615249156952,80.89721656799317,0.24400000475347042,epbase3q_legacy_10k_e15_w5,0.21572840775549412
0.0004435573587810295,2.0,0.0009191820473829882,ep_threeq,0.4181468216776848,0.33667503476142885,42,0.4186543694138527,107.04753674316406,0.2132000034749508,0.41540617048740386,143.02611099243165,0.2270000025257468,epbase3q_legacy_10k_e15_w5,0.1859752130806446
0.0005659180682093314,3.0,0.0010288395641729587,ep_threeq,0.4435955882072449,0.34550991135835646,42,0.3856614191234112,242.3865320892334,0.19210000382363795,0.3782125809788704,401.1230596923828,0.20550000358372927,epbase3q_legacy_10k_e15_w5,0.1717568246871233
0.0007707382908537687,4.0,0.0010754947104647623,ep_threeq,0.4653536056280136,0.3458250748515129,42,0.3489612396359444,1035.026174194336,0.1665000033006072,0.351280454993248,2160.6948400878905,0.17650000281631947,epbase3q_legacy_10k_e15_w5,0.15565832985937594
0.0011929962842892737,5.0,0.0011287522710395183,ep_threeq,0.47949309468269347,0.3432235895991325,42,0.3287241427004337,7383.806400390625,0.16080000310391188,0.3288411347568035,18615.90431640625,0.17100000374019145,epbase3q_legacy_10k_e15_w5,0.1469809545427561
0.001659819723560479,6.0,0.001146335836954272,ep_threeq,0.4961940385699272,0.34466686356067655,42,0.32013682651519776,62498.21927734375,0.15170000287890434,0.32927391946315765,139970.792890625,0.16450000327080488,epbase3q_legacy_10k_e15_w5,0.1431164189428091
0.0019709803847227252,7.0,0.0012153369806145182,ep_threeq,0.5060341528654099,0.34397720831632617,42,0.3141423929035664,444202.76171875,0.1514000030979514,0.32906035959720614,1084880.771875,0.18250000309199094,epbase3q_legacy_10k_e15_w5,0.14050020019710063
0.0021414274773315857,8.0,0.00120948079710547,ep_threeq,0.514664188683033,0.34241431003808975,42,0.2952245785295963,3771906.38575,0.137800002977252,0.29552862912416455,9022215.055,0.151000002771616,epbase3q_legacy_10k_e15_w5,0.13212378299981356
0.0023310573292826234,9.0,0.001219612005830096,ep_threeq,0.5128552199602127,0.3404138335585594,42,0.2804088580906391,42985403.086,0.13170000265538692,0.289011599868536,124200025.44,0.15100000247359277,epbase3q_legacy_10k_e15_w5,0.12560297767817974
