epoch,family,objective,saturation,seed,state_delta,test_cost,test_energy,test_error,test_saturation,train_cost,train_energy,train_error,variant,weight_abs_mean,weight_update_rel_mean
0.0,dthreeq,-14.409371637235022,0.0005577151242662662,2025,0.07780516484773059,0.06561681686434895,56.532610058784485,0.29736328125,0.00016467524509803923,0.09446932750332887,67.26624434161339,0.5193073248407644,dthreeq_ep_nudge0p1_lr3e3,0.02779063402236125,362.81796719621127
1.0,dthreeq,-10.5568223698124,0.00018206725365305326,2025,0.06349106933951236,0.05648053588811308,54.89795386791229,0.22412109375,0.00015127144607843135,0.06254419247815564,55.59621167031064,0.2832404458598726,dthreeq_ep_nudge0p1_lr3e3,0.03205112237401698,0.003347565137284601
2.0,dthreeq,-10.960250417138361,0.0001529911327588357,2025,0.05956427199813496,0.05282642797101289,54.06233894824982,0.19921875,0.00013882506127450983,0.05632403832237432,54.56366100432766,0.2353702229299363,dthreeq_ep_nudge0p1_lr3e3,0.03428132122361759,0.002717899357572293
3.0,dthreeq,-11.07037999827391,0.00013308667416010966,2025,0.05736288159809841,0.05096717027481645,53.4229017496109,0.1865234375,0.00012063419117647061,0.0533676215085634,53.70092319075469,0.21297770700636942,dthreeq_ep_nudge0p1_lr3e3,0.03621951800735466,0.0023136285947940568
4.0,dthreeq,-11.033204194087132,0.00011357249906331939,2025,0.05600470403256785,0.049991440027952194,52.93663704395294,0.18212890625,9.861366421568625e-05,0.05166887394656801,53.09832182963183,0.2021297770700637,dthreeq_ep_nudge0p1_lr3e3,0.03801179448050702,0.0020503783777455374
5.0,dthreeq,-10.847139783725616,9.308261521168959e-05,2025,0.0549696843973272,0.048797172610647976,52.62558043003082,0.1728515625,8.233762254901961e-05,0.05041816462851634,52.66010627017659,0.19227707006369427,dthreeq_ep_nudge0p1_lr3e3,0.03971862859629498,0.001803855601469624
6.0,dthreeq,-10.646630548367835,7.688584988135368e-05,2025,0.05419631910904839,0.04812400706578046,52.334468722343445,0.16845703125,6.318933823529414e-05,0.04945130634364808,52.30456664455924,0.1862062101910828,dthreeq_ep_nudge0p1_lr3e3,0.041360189556885675,0.0016472362462323547
7.0,dthreeq,-10.456224429379603,6.029880104908195e-05,2025,0.05363726311372178,0.04766195605043322,51.93286216259003,0.17138671875,5.074295343137254e-05,0.0485597028853787,51.95115416217002,0.17884156050955413,dthreeq_ep_nudge0p1_lr3e3,0.04300934055695536,0.0015184723872632164
8.0,dthreeq,-10.227634891582902,5.054171350068682e-05,2025,0.05315237371755206,0.04722974053584039,51.34394729137421,0.16552734375,3.4466911764705875e-05,0.04794769978542237,51.4450031693574,0.17595541401273884,dthreeq_ep_nudge0p1_lr3e3,0.04467528839343506,0.0014247614161263034
9.0,dthreeq,-9.995446660716063,3.7467216185837324e-05,2025,0.052738407200386236,0.04685425420757383,50.43890941143036,0.16650390625,3.0637254901960784e-05,0.04742771239986845,50.70925662775708,0.17097929936305734,dthreeq_ep_nudge0p1_lr3e3,0.04640149832688343,0.0013282978379981865
10.0,dthreeq,-9.75917087239065,3.414980641938297e-05,2025,0.05238845110440828,0.04654904478229582,49.119521498680115,0.1708984375,3.0637254901960784e-05,0.0468926693128932,49.60208698442787,0.16839171974522293,dthreeq_ep_nudge0p1_lr3e3,0.04818193135178013,0.0013361526337947137
11.0,dthreeq,-9.457913781427274,4.000405894842008e-05,2025,0.05206440661360575,0.04607742791995406,47.70804214477539,0.17041015625,3.7339154411764695e-05,0.046406078798945545,48.16843489628688,0.16739649681528662,dthreeq_ep_nudge0p1_lr3e3,0.04998845200997534,0.001289234793621273
12.0,dthreeq,-9.170083695915855,6.45919195703758e-05,2025,0.051768260579378264,0.04611689562443644,46.523587346076965,0.1728515625,7.276348039215685e-05,0.04602888264473836,46.824346554507116,0.16520700636942676,dthreeq_ep_nudge0p1_lr3e3,0.051801236064594455,0.0012754147666706734
13.0,dthreeq,-8.87893093619377,0.00011181622330460829,2025,0.05152991998890284,0.045569219277240336,45.82556343078613,0.16455078125,0.00014648437500000002,0.04573248599649994,45.89605693452677,0.16650079617834396,dthreeq_ep_nudge0p1_lr3e3,0.053596466625477096,0.0012465121038550808
14.0,dthreeq,-8.649860309187774,0.0001881166479330582,2025,0.0512638292394009,0.045201863278634846,45.51824903488159,0.16162109375,0.0002479702818627451,0.04535108923342577,45.3958428255312,0.16321656050955413,dthreeq_ep_nudge0p1_lr3e3,0.055441797335756715,0.0012427766278506464
