variant,family,best_test_error_mean,best_test_error_std,final_test_error_mean,final_train_error_mean,state_delta_mean,saturation_mean,duration_sec_mean
dthreeq_ep_tanh_nudge0p1_lr5e3,dthreeq,0.154541015625,0.0017263349150062196,0.43310546875,0.21556528662420382,0.07464773021823767,0.0026218269951292605,332.5010284862947
dthreeq_ep_nudge0p1_lr3e3,dthreeq,0.16064453125,0.00621480569402239,0.16455078125,0.1513236464968153,0.04980718216763892,6.829961283876607e-07,334.6063642371446
dthreeq_ep_clip01_nudge0p2_lr3e3,dthreeq,0.296875,0.08286407592029854,0.53271484375,0.5164709394904459,0.06414073482852808,0.9144317081928315,295.9873109390028
dthreeq_ep_clip01_nudge0p1_lr3e3,dthreeq,0.329345703125,0.062493323923225146,0.84228515625,0.8591261942675159,0.05887363262418785,0.9812574153865369,293.8852152037434
dthreeq_ep_clip01_nudge0p1_lr5e3_decay20,dthreeq,0.331787109375,0.07423240134526744,0.873291015625,0.8698746019108281,0.05899180056792533,0.9816943377669536,291.0141794276424
dthreeq_ep_clip01_nudge0p05_lr3e3,dthreeq,0.40283203125,0.056623785212204,0.869140625,0.8533041401273885,0.03818257057219744,0.9805996901148992,299.17732922709547
