epoch,family,objective,rho,saturation,seed,state_delta,state_delta_l1,state_delta_l2,state_delta_l3,test_cost,test_energy,test_error,test_saturation,train_cost,train_energy,train_error,variant,weak_cost,weight_abs_mean,weight_update_rel_mean
0.0,legacy_conv,,,,2025,,,,,0.9838142991065979,24.639546871185303,0.8408203125,0.38240689856622306,0.9834210733149914,26.731963786673038,0.8699658069204776,cnnthreeq_direct,0.43686827002687656,,0.006759799967806453
1.0,legacy_conv,,,,2025,,,,,0.9838620908558369,23.973021030426025,0.8251953125,0.3897657735266159,0.9829929153969947,24.236397438860955,0.8214285728779245,cnnthreeq_direct,0.4372058352257343,,0.0017601355983664845
2.0,legacy_conv,,,,2025,,,,,0.9833354391157627,23.63747787475586,0.8236328139901161,0.39263456511406847,0.9824132120355646,23.75296787505454,0.8163943772620343,cnnthreeq_direct,0.43505082739160417,,0.0012420657914652823
0.0,legacy_conv,,,,42,,,,,0.9900394007563591,26.16593647003174,0.9417968764901161,0.511493979721166,0.9911250066249928,27.20071764195219,0.9394471898992011,epcnnthreeq_ep,0.4721919184035443,,0.005956760436334895
1.0,legacy_conv,,,,42,,,,,0.9872998967766762,26.0233234167099,0.9330078139901161,0.5164218452946767,0.9879579239703239,25.879366732658223,0.9386398183538559,epcnnthreeq_ep,0.4585918733414183,,0.001781373182042526
2.0,legacy_conv,,,,42,,,,,0.9851858355104923,25.815744400024414,0.9212890639901161,0.516918790597275,0.9853529055067833,25.703362688105155,0.9314684664949457,epcnnthreeq_ep,0.4497549445071119,,0.001254938808983895
0.0,dthreeq,-108.44400284138132,,0.005285292966986668,42,0.017873180079016282,,,,0.25569496490061283,66.35215520858765,0.8746093772351742,0.004296875,0.27180106335497917,66.61639290667594,0.8753799402967413,dthreeq_ep_nudge_0p01,,0.04575266189204152,75.13227507934431
1.0,dthreeq,-107.27957055923787,,0.003269217024286015,42,0.016704482941207945,,,,0.2265005148947239,64.36753749847412,0.876953125,0.0025970761138613863,0.23680321491779166,64.84152603149414,0.8645041800559835,dthreeq_ep_nudge_0p01,,0.0472583688064049,0.00745205818924959
2.0,dthreeq,-104.45325323875915,,0.0019965617382406934,42,0.015820933017113525,,,,0.20648437552154064,62.180930376052856,0.8714843764901161,0.0016417852722772283,0.21252790125126533,62.764652739179894,0.8620820679563157,dthreeq_ep_nudge_0p01,,0.04860619969970666,0.004261935464308653
0.0,dthreeq,-120.3078493158868,,0.008270025805772066,2025,0.018652548409126543,,,,0.2555971397086978,68.4448606967926,0.8718749992549419,0.006408570544554455,0.27791003977998774,69.22157920675075,0.8718180098432176,dthreeq_ep_nudge_0p01,,0.046786367967989455,74.15136299791375
1.0,dthreeq,-119.99274720536901,,0.005147517981281409,2025,0.01754509356097444,,,,0.22907619550824165,66.0976870059967,0.8689453117549419,0.004011641398514851,0.24344221106235017,67.19319932004238,0.8686360196864351,dthreeq_ep_nudge_0p01,,0.0482707921329288,0.007529161137657913
2.0,dthreeq,-117.2614888941988,,0.0031923357609317166,2025,0.016739988382509414,,,,0.21327474806457758,63.35619044303894,0.8621093742549419,0.0023998298267326732,0.22189321923763194,64.65435953343169,0.8626994693532903,dthreeq_ep_nudge_0p01,,0.049556304987582726,0.004347524383002702
0.0,dthreeq_variant_objective,0.028937093358724676,,0.010189236058864246,2025,0.14842905652055396,,,,0.2976144589483738,70.17405128479004,0.8871093764901161,0.010098236386138614,0.300291914889153,69.94807888599152,0.8761873105739025,dthreeq_dplus_layergain_direct,,0.04595836589139077,0.09505695219159989
1.0,dthreeq_variant_objective,0.02892670895349472,,0.010180536955671253,2025,0.14839942601066852,,,,0.2975618224591017,70.17386817932129,0.8871093764901161,0.010093401918316832,0.30018284409604173,69.94248410488697,0.8762348027939492,dthreeq_dplus_layergain_direct,,0.04595979027918109,0.006298104944870593
2.0,dthreeq_variant_objective,0.028920937963622682,,0.010172308074272472,2025,0.14837667109537211,,,,0.2975091841071844,70.17368650436401,0.8871093764901161,0.01008856745049505,0.300125538034642,69.93877540750707,0.8762822962821798,dthreeq_dplus_layergain_direct,,0.04596120898583689,0.0038713040503762465
0.0,bp_cnn,,,,2025,,,,,0.9880960509181023,,0.20625000074505806,,1.8589353916492868,,0.4978628421717502,bp_cnn,,,
1.0,bp_cnn,,,,2025,,,,,0.46256919763982296,,0.13750000018626451,,0.6505210253786533,,0.18617021276595744,bp_cnn,,,
2.0,bp_cnn,,,,2025,,,,,0.36160322092473507,,0.10683593759313226,,0.4307622643227273,,0.12784954414088676,bp_cnn,,,
0.0,threeq_mlp,,1.2713583175172196,0.41719511759306627,2025,,0.04150265542433617,0.013335248019467009,0.03554812533424256,0.9963867366313934,28.991259694099426,0.9011718742549419,0.3921072478341584,0.9965935235327863,33.15756079491148,0.90596504667972,epthreeq_tied_w10,0.4572878137547919,0.08911638765047628,0.0008071768207744327
1.0,threeq_mlp,,1.327333353935404,0.39051214676938817,2025,,0.05261496517886507,0.01350457748358554,0.0348996935372657,0.9968170039355755,28.302470445632935,0.8888671882450581,0.38931195853960393,0.996936246435693,28.80876196191666,0.901025836772107,epthreeq_tied_w10,0.4573189850817335,0.08903426653210152,0.000496672492800918
2.0,threeq_mlp,,1.365033060946363,0.389200463074423,2025,,0.05468864691384295,0.012753162889721547,0.03459655065485771,0.996795941144228,27.60916256904602,0.8880859389901161,0.39027111695544553,0.9971509157343114,28.093165620844413,0.8857807758006644,epthreeq_tied_w10,0.4561556660114451,0.08898964162308273,0.0004884268658824146
0.0,bp_mlp,,,,2025,,,,,0.7537762932479382,,0.14824218768626451,,1.4179943039062175,,0.3384308510638298,bp_mlp_tanh,,,
1.0,bp_mlp,,,,2025,,,,,0.42787345312535763,,0.10175781254656613,,0.5858289631123238,,0.13758548650335758,bp_mlp_tanh,,,
2.0,bp_mlp,,,,2025,,,,,0.34317484498023987,,0.09980468754656613,,0.3888135362178721,,0.09802431629059162,bp_mlp_tanh,,,
0.0,threeq_mlp,,0.6425467666159285,0.43119197463059383,42,,0.03215881658995405,0.01157792847841344,0.03683303241082962,0.9918252639472485,35.26743459701538,0.9208984375,0.3663317991955446,0.9954985532354801,40.65483726339137,0.9183605630347069,epthreeq_cost_w10,0.45271056763669276,0.09096833059551024,0.0005403240586907164
1.0,threeq_mlp,,0.6113881899955425,0.36188175238496495,42,,0.07827850581800684,0.030549481669639018,0.04479433722952579,0.9815808646380901,73.12157154083252,0.9074218757450581,0.4009098468440594,0.9875065760409578,47.60473584114237,0.9106193019988689,epthreeq_cost_w10,0.45467415705640263,0.09100705068162145,0.0010362770734543998
2.0,threeq_mlp,,0.6718398776460202,0.46925313731981105,42,,0.06702885491416809,0.07259879974608725,0.06143201158401814,0.9738524444401264,557.7760047912598,0.9074218757450581,0.5564327428836634,0.9749435947296468,190.55229446735788,0.9110467332474729,epthreeq_cost_w10,0.5198657721915143,0.09158198275200444,0.002503461412017745
0.0,threeq_mlp,,1.2711689725835273,0.40196792523097313,42,,0.04390848638053904,0.014568326766899925,0.03781319148045905,0.9954572133719921,28.8269202709198,0.9248046875,0.37187983446782175,0.9951112688855922,33.090532221692676,0.9194053956802856,epthreeq_tied_w10,0.4485270957997505,0.09178784730058191,0.0008775994768329312
1.0,threeq_mlp,,1.346837601763137,0.3692334350266333,42,,0.05620732618139145,0.014119513154505416,0.03638945813191698,0.9978335313498974,27.8850359916687,0.947265625,0.36860206528465345,0.9967880363159991,28.210570842661756,0.9293787999356047,epthreeq_tied_w10,0.4520925239045569,0.09169542739260282,0.0005555352443849116
2.0,threeq_mlp,,1.391115777035977,0.37048704633001295,42,,0.05818198113999468,0.012628078738108594,0.03500439297962696,0.998765267431736,26.9882333278656,0.9542968757450581,0.371915609529703,0.9983498428730254,27.3088764839984,0.9462860949496006,epthreeq_tied_w10,0.45550073778375666,0.0916413831531156,0.0005337121922621502
0.0,dthreeq,0.028918462785634588,,0.010189236058864246,2025,0.14842909708262442,,,,0.29761472158133984,70.17408609390259,0.8871093764901161,0.010098236386138614,0.3002920474143738,69.94809528107339,0.8761873105739025,dthreeq_dplus_direct,,0.045958361785265314,0.09099965244420631
1.0,dthreeq,0.028908104774482708,,0.010180536955671253,2025,0.1483995449887787,,,,0.29756234399974346,70.17393827438354,0.8871093764901161,0.010093401918316832,0.30018322898986494,69.94253345246011,0.8762348027939492,dthreeq_dplus_direct,,0.04595977815610825,0.005598681270744087
2.0,dthreeq,0.028902360654257712,,0.010172308074272472,2025,0.1483768661546105,,,,0.29750996828079224,70.17378854751587,0.8871093764901161,0.01008856745049505,0.30012617783343537,69.93885770757147,0.8762822962821798,dthreeq_dplus_direct,,0.04596118882023661,0.0035152263075740563
0.0,legacy_conv,,,,2025,,,,,0.9800763130187988,26.342039227485657,0.8599609397351742,0.4712066302281369,0.9811755291959072,27.100259537392475,0.882741262304022,epcnnthreeq_ep,0.43763352454976834,,0.007310750885921603
1.0,legacy_conv,,,,2025,,,,,0.9779096320271492,27.00830638408661,0.8365234397351742,0.4787663874366287,0.9785263880770257,26.66673615638246,0.8442249247368346,epcnnthreeq_ep,0.4334888990889204,,0.0018364741888642888
2.0,legacy_conv,,,,2025,,,,,0.9761030077934265,27.580944657325745,0.8220703117549419,0.4830474195975918,0.9761981253928327,27.20684408634267,0.823328268020711,epcnnthreeq_ep,0.42899083330276166,,0.0013574539400263257
0.0,threeq_mlp,,0.5859896768914893,0.4357550069216647,2025,,0.03282134274535991,0.011892514501480347,0.03524187064551292,0.9940646439790726,35.90998101234436,0.9011718742549419,0.36439607827970294,0.9965819805226428,40.52138543636241,0.90596504667972,epthreeq_cost_w10,0.4611710956756105,0.09030072394996246,0.0005459188832534761
1.0,threeq_mlp,,0.5744062826988545,0.3494189939510669,2025,,0.07175924367410072,0.03164076646591755,0.038573155457035026,0.9882777184247971,75.35274982452393,0.9011718742549419,0.3719098081683168,0.9916084852624447,49.03556223118559,0.9063449857082773,epthreeq_cost_w10,0.4844381701438985,0.09033125933550351,0.0009897695216291031
2.0,threeq_mlp,,0.6534840629455891,0.43408665999578655,2025,,0.0667355681987519,0.07884264111201814,0.04712941196370632,0.9888951927423477,716.4846572875977,0.9011718742549419,0.5134407874381188,0.9875929659985482,206.73308271042845,0.9064874623684173,epthreeq_cost_w10,0.5925936654527136,0.09086093908928806,0.002779638595297671
