variant,family,best_test_error_mean,best_test_error_std,selected_test_error_mean,selected_test_accuracy_mean,final_test_error_mean,final_state_test_error_mean,final_train_error_mean,state_delta_mean,saturation_mean,input_recon_energy_frac_mean,weighted_input_recon_energy_frac_mean,weight_update_rel_mean_mean,duration_sec_mean
dthreeq_ep_ce_nudge0p1_lr3e3,dthreeq,0.131591796875,0.007250606643026122,0.134521484375,0.865478515625,0.134521484375,0.134521484375,0.12390525477707007,0.03896151608631762,0.010829098757337324,0.6753662679857144,0.6753662679857144,0.001320915309704061,271.6644816370681
dthreeq_ep_ce_nudge0p05_lr3e3,dthreeq,0.13525390625,0.007595873626027366,0.138671875,0.861328125,0.138671875,0.138671875,0.12350716560509553,0.020411131212081476,0.011869594573498189,0.6694295387162545,0.6694295387162545,0.0012680787864057506,274.5295617082156
dthreeq_ep_readout_nudge0p1_lr3e3,dthreeq_readout,0.136962890625,0.0010358009490037316,0.141845703125,0.858154296875,0.141845703125,0.16455078125,0.1207703025477707,0.04980718216763892,6.829961283876607e-07,0.49387457724414974,0.49387457724414974,0.00092369241915525,274.1010370068252
dthreeq_ep_readout_noinput_nudge0p1_lr3e3,dthreeq_readout,0.138671875,0.01242961138804478,0.154541015625,0.845458984375,0.154541015625,0.181396484375,0.12156648089171974,0.04774570979539803,0.0005288341451230164,0.9236539884396396,0.0,0.000934041179077966,276.05144192720763
dthreeq_ep_tanh_nudge0p1_lr5e3_restorebest,dthreeq,0.154541015625,0.0017263349150062196,0.154541015625,0.845458984375,0.43310546875,0.43310546875,0.21556528662420382,0.07464773021823767,0.0026218269951292605,0.6045007652909582,0.6045007652909582,0.013636613874291478,271.527974589495
dthreeq_ep_tanh_nudge0p1_lr5e3_decay15_restorebest,dthreeq,0.1611328125,0.0020716018980074633,0.1611328125,0.8388671875,0.1640625,0.1640625,0.15082603503184713,0.04984704767588147,9.757087548395153e-07,0.512733544276539,0.512733544276539,0.0003013165360188037,210.8564159849193
dthreeq_ep_tanh_nudge0p1_lr5e3_decay15,dthreeq,0.15869140625,0.005524271728019903,0.162109375,0.837890625,0.162109375,0.162109375,0.1500796178343949,0.04966907034432338,9.757087548395153e-07,0.5127045780342563,0.5127045780342563,0.00029703798224764563,271.40121250855736
dthreeq_ep_signed_nudge0p1_lr3e3,dthreeq,0.131103515625,0.007250606643026122,0.162841796875,0.837158203125,0.162841796875,0.162841796875,0.13420581210191082,0.05410294687474787,0.008894951292618962,0.5332159934406608,0.5332159934406608,0.003877786944250372,268.99785973411053
dthreeq_ep_nudge0p1_lr3e3,dthreeq,0.16064453125,0.00621480569402239,0.16455078125,0.83544921875,0.16455078125,0.16455078125,0.1513236464968153,0.04980718216763892,6.829961283876607e-07,0.49387457724414974,0.49387457724414974,0.00092369241915525,319.39320794143714
dthreeq_ep_input1over28_nudge0p1_lr3e3,dthreeq,0.156982421875,0.01070327647303856,0.180908203125,0.819091796875,0.180908203125,0.180908203125,0.14604896496815287,0.04779008255361662,0.0004590709691519912,0.9177322576958016,0.28537087078539203,0.0009624037309848192,301.97224391647615
dthreeq_ep_input1over784_nudge0p1_lr3e3,dthreeq,0.156982421875,0.011393810439041049,0.18115234375,0.81884765625,0.18115234375,0.18115234375,0.14560111464968153,0.047747698146479126,0.0005255167353565621,0.9234571863635346,0.015204469331528001,0.0009716777935996589,333.0214761821553
dthreeq_ep_noinput_nudge0p1_lr3e3,dthreeq,0.156982421875,0.011393810439041049,0.181396484375,0.818603515625,0.181396484375,0.181396484375,0.1455513535031847,0.04774570979539803,0.0005288341451230164,0.9236539884396396,0.0,0.000934041179077966,309.9690998250153
dthreeq_ep_tanh_nudge0p1_lr5e3,dthreeq,0.154541015625,0.0017263349150062196,0.43310546875,0.56689453125,0.43310546875,0.43310546875,0.21556528662420382,0.07464773021823767,0.0026218269951292605,0.6045007652909582,0.6045007652909582,0.013636613874291478,319.6937814303674
