epoch,family,input_recon_energy,input_recon_energy_frac,objective,saturation,seed,state_delta,state_test_cost,state_test_error,state_train_cost,state_train_error,test_cost,test_energy,test_error,test_saturation,train_cost,train_energy,train_error,variant,weight_abs_mean,weight_update_rel_mean,weighted_input_recon_energy_frac
0.0,dthreeq,43.94966697692871,0.7754655515939879,-3.8580200778450937,0.006430506119645303,42,0.11824368875455941,,,,,0.19939032243564725,56.675169825553894,0.236328125,0.008168658088235295,0.27951821675346156,68.30973198763124,0.4085390127388535,dthreeq_ep_signed_nudge0p1_lr3e3,0.04192894843005372,1200.331814254255,0.7754655515939879
1.0,dthreeq,42.43612062931061,0.7705395825658161,-6.354218501194268,0.009427493131010373,42,0.08179107832849904,,,,,0.16088914591819048,55.07381856441498,0.1787109375,0.01042624080882353,0.174153388400746,55.26573808026162,0.19058519108280256,dthreeq_ep_signed_nudge0p1_lr3e3,0.06131868886948225,0.00267069895695979,0.7705395825658161
2.0,dthreeq,42.05221092700958,0.7715112502427659,-8.000032947321607,0.010494333083551893,42,0.07230624040309933,,,,,0.14964996627531946,54.50725591182709,0.1708984375,0.010808249080882352,0.15099582023871172,54.42343812687382,0.16003184713375795,dthreeq_ep_signed_nudge0p1_lr3e3,0.06918260153044893,0.0021447418467435077,0.7715112502427659
3.0,dthreeq,41.7177038192749,0.7763624754895242,-8.421363587592058,0.010631127450980398,42,0.06954852909229364,,,,,0.14433451229706407,53.73615336418152,0.16259765625,0.010975796568627452,0.14278753937050037,53.713066271156265,0.14838773885350318,dthreeq_ep_signed_nudge0p1_lr3e3,0.07577813567985205,0.002008166060360286,0.7763624754895242
4.0,dthreeq,41.39831471443176,0.7834675633165237,-8.28078373222594,0.01060732015736231,42,0.06845135297655917,,,,,0.14245827007107437,52.841357946395874,0.1552734375,0.010679955575980392,0.13931291816151067,52.864681656952875,0.14629777070063693,dthreeq_ep_signed_nudge0p1_lr3e3,0.08215319535362825,0.0019530439067492356,0.7834675633165237
5.0,dthreeq,40.98620879650116,0.7926735259140761,-8.001104221222507,0.01060361246409392,42,0.06755060525566553,,,,,0.1399705451913178,51.70772385597229,0.15478515625,0.010553576899509802,0.13633958786536174,51.8175163997966,0.14042595541401273,dthreeq_ep_signed_nudge0p1_lr3e3,0.0886306925699008,0.0019393715165498013,0.7926735259140761
6.0,dthreeq,40.290555000305176,0.7997237910048969,-7.732723746330115,0.010696695079305606,42,0.06631479302352994,,,,,0.1382695536594838,50.38203203678131,0.15185546875,0.010752719056372546,0.13322269475194298,50.522383671657295,0.13485270700636942,dthreeq_ep_signed_nudge0p1_lr3e3,0.09523353390365981,0.0019148846362531866,0.7997237910048969
7.0,dthreeq,39.421971559524536,0.8038608322163152,-7.565825395523363,0.01087642063194705,42,0.06497357543083324,,,,,0.13506591110490263,49.04229211807251,0.1455078125,0.010889629289215684,0.13042034071152378,49.24028061301845,0.13335987261146498,dthreeq_ep_signed_nudge0p1_lr3e3,0.10170713795280784,0.0018854108688221604,0.8038608322163152
8.0,dthreeq,38.520957946777344,0.8051031020927071,-7.37348714451881,0.011085807730735607,42,0.06368661945786588,,,,,0.13216868019662797,47.84765183925629,0.13671875,0.011257276348039214,0.12833892767596397,47.90615691652723,0.13156847133757962,dthreeq_ep_signed_nudge0p1_lr3e3,0.10793402164308413,0.0018379925713556185,0.8051031020927071
9.0,dthreeq,37.78587305545807,0.8044736003814748,-7.254610486850617,0.011329734919445495,42,0.06206741199493527,,,,,0.13196707563474774,46.97159147262573,0.14208984375,0.01117398131127451,0.12573506583453745,46.90102187235644,0.1291799363057325,dthreeq_ep_signed_nudge0p1_lr3e3,0.11361815350999237,0.0018056168628682227,0.8044736003814748
10.0,dthreeq,37.20287275314331,0.8028900363687711,-7.134393339703797,0.011524096103409516,42,0.060927621561998296,,,,,0.1301994149107486,46.338488936424255,0.14208984375,0.011341528799019606,0.12385581495465746,46.11971331553854,0.1265923566878981,dthreeq_ep_signed_nudge0p1_lr3e3,0.11885639781630628,0.001774301013936322,0.8028900363687711
11.0,dthreeq,36.764716386795044,0.8015452289448104,-7.054840865408539,0.011728214374921934,42,0.05981346452905304,,,,,0.12734496966004372,45.86997997760773,0.140625,0.01186331954656863,0.12203573070134327,45.59114609250597,0.12450238853503184,dthreeq_ep_signed_nudge0p1_lr3e3,0.1236429441205647,0.00172939668730518,0.8015452289448104
12.0,dthreeq,36.447675824165344,0.7991198636998469,-6.978158161139032,0.01193662576495567,42,0.05873852947973023,,,,,0.12675741803832352,45.61289370059967,0.1416015625,0.01204905790441177,0.12059744243409223,45.24578318018822,0.12420382165605096,dthreeq_ep_signed_nudge0p1_lr3e3,0.12808716136541004,0.0017133453600665291,0.7991198636998469
