Lg,initial_delta,final_delta,final_rho,delta_reduction_factor,classification
5,4.296896934509277,3.7229619920253764e-07,0.5028825998306274,8.664303679535552e-08,convergent
8,4.704076766967773,5.178386345505714e-06,0.5929021239280701,1.1008294723990396e-06,convergent
10,5.275463104248047,1.0660849511623384e-05,0.7411283850669861,2.020836711574909e-06,convergent
12,5.988387584686279,0.0011502732522785,0.894508421421051,0.00019208396851600257,non_convergent_or_slow
15,7.175253868103027,0.1738527119159698,1.248552680015564,0.024229485828901057,non_convergent_or_slow
