target,dplus_vs_bp_cosine,dplus_vs_bp_norm_ratio,dplus_vs_bp_sign,dplus_vs_ep_cosine,dplus_vs_ep_norm_ratio,dplus_raw_free_mse_decrease,dplus_bp_normed_free_mse_decrease
direct_plus,0.07597568382819493,0.17052932982468116,0.5684910549057854,0.9970690409342448,0.08307920428665234,3.573132885826958e-05,0.00023434476719960107
nudge_0p1_plus,0.07499903316299117,0.13931294616159354,0.5468453003300562,0.996698389450709,0.0083048389260052,2.9154949718051488e-05,0.00023419409990309994
nudge_0p01_plus,0.07113605013324152,0.025883709791276466,0.5063600457376904,0.9275934199492136,0.0007700817958866333,5.366901556650798e-06,0.00022556136051810833
nudge_0p001_plus,0.03631495513642824,0.0035674741044868,0.5013302746746274,0.38036232524447966,2.552644031554254e-05,6.730357805887858e-07,9.540882375503079e-05
nudge_0p01_plusminus,-0.15737681049439642,0.001345389541664,0.49725705219639665,-0.8290147698587841,4.619739100501397e-05,-2.9636753929985895e-07,-4.707690742279173e-05
gradual_100_0p01_plus,0.06418121150798263,0.08171006127637893,0.5303053193622166,0.8465615544054242,0.0006989778792609001,1.6663637426164416e-05,0.00021294421619836332
