case,eta,initial_rho,final_rho,first_epoch_rho_ge_1,post_update_growth_factor,post_update_final_norm
small_step_eta_0p010,0.01,0.7,0.94,,0.08416163114342567,8.416163114342567e-05
large_step_eta_0p035,0.035,0.7,1.54,9,31683185.01737248,31683.18501737248
