variant,best_valid_error_mean,best_valid_error_std,final_valid_error_mean,rho_mean,saturation_mean,state_delta_l1_mean,state_delta_l2_mean,weight_abs_mean,duration_sec_mean
ep_cost_w50,0.17833333648741245,0.032532035644011977,0.28166667371988297,0.6409682994087537,0.40835784313725493,0.024418385815806687,0.26177943634490175,1.0956438176954786,111.6759949917905
ep_cost_w10,0.2766666729003191,0.16735690947875928,0.2816666743407647,0.48078614721695584,0.46283088235294106,0.0034506197669543323,0.16036014333367346,0.29294778189311427,85.30977447563782
direct_cost_w50,0.2866666744152705,0.21519371944887372,0.49333334888021146,0.5557548771301906,0.22316176470588234,0.03496460902194182,0.28134367540478705,0.2217391792063912,164.96633686311543
ep_tied_w10,0.316666671137015,0.19623540813544557,0.6666666815678278,0.6607182602087657,0.569044117647059,0.0033497505588456987,0.16597924468417963,0.36255563100179033,81.13955778225015
direct_linear_w10,0.3266666750113169,0.1827794717245221,0.5266666779915492,0.48138309319814043,0.28029411764705886,0.012016361835412681,0.04197678895046314,0.21997442605594794,104.0072895406435
direct_cost_w10,0.39333334329227604,0.20361320202869373,0.4600000088413556,0.47134570057193437,0.29147058823529415,0.004921369475778192,0.16199737675487993,0.21691588470712306,107.4007738440608
ep_cost_w2,0.41166667789220807,0.2093044104281019,0.5200000127156575,0.3787230409681797,0.5312254901960783,0.0003545710438629612,0.04607186485081911,0.22178941359743476,77.3742503489678
