variant,family,best_test_error_mean,best_test_error_std,final_test_error_mean,final_train_error_mean,state_delta_mean,saturation_mean,duration_sec_mean
dthreeq_ep_nudge0p1_lr3e3,dthreeq,0.16064453125,0.00621480569402239,0.16455078125,0.1513236464968153,0.04980718216763892,5.854252529037092e-07,304.6435020158533
dthreeq_plus_energy_direct_lr1e3,dthreeq_plus_energy,0.450927734375,0.041086770977148024,0.54833984375,0.5304538216560509,0.09353792349990327,0.8979902351067813,290.52170618483797
dthreeq_plus_energy_direct_lr3e4,dthreeq_plus_energy,0.500244140625,0.024513955793088318,0.500244140625,0.5219944267515924,0.10704223735993551,0.31022123220307235,321.26659463276155
dthreeq_plus_energy_nudge0p1_lr1e3,dthreeq_plus_energy,0.54296875,0.049027911586176635,0.6318359375,0.6221636146496815,0.07304723887292039,0.9011094784251281,253.2828643762041
dthreeq_forward_target_direct_lr1e3,dthreeq_forward_target,0.7216796875,0.02554975674209205,0.7216796875,0.7449741242038217,0.12785627633951618,0.0020700636942675146,253.03584853024222
dthreeq_forward_target_nudge0p1_lr1e3,dthreeq_forward_target,0.78955078125,0.02209708691207961,0.78955078125,0.8056329617834395,0.09278930517382161,0.0020720151117771934,252.19601342640817
dthreeq_bidir_target_direct_lr1e3,dthreeq_bidir_target,0.820068359375,0.02106128596307588,0.820068359375,0.8372312898089171,0.1378090300639516,0.002024498095416509,252.47592673101462
