epoch,family,objective,saturation,seed,state_delta,test_cost,test_energy,test_error,test_saturation,train_cost,train_energy,train_error,variant,weight_abs_mean,weight_update_rel_mean
0.0,dthreeq_forward_target,0.05222410476131804,0.0025007415386536767,2025,0.13367128970730266,0.2619302826933563,84.1073989868164,0.91015625,0.002373429840686275,0.2707215775350097,83.64597859959693,0.9258558917197452,dthreeq_forward_target_nudge0p1_lr1e3,0.022210773407246632,0.8703035259712033
1.0,dthreeq_forward_target,0.04964929638774532,0.0024041463719245647,2025,0.1286112370731748,0.24429674679413438,84.04676413536072,0.90478515625,0.0022776884191176476,0.25287522385074834,83.60492900678307,0.9179936305732485,dthreeq_forward_target_nudge0p1_lr1e3,0.022399389489982394,0.0011118782396928083
2.0,dthreeq_forward_target,0.047247163002278394,0.0023153568752341696,2025,0.12399026274956929,0.22866026777774096,83.99289608001709,0.89990234375,0.0021963082107843137,0.23654700502468523,83.65031190131121,0.9132165605095541,dthreeq_forward_target_nudge0p1_lr1e3,0.02257186213664931,0.0006418281027440123
3.0,dthreeq_forward_target,0.04515334002815994,0.0022628637442238045,2025,0.11987352771180308,0.2150228596292436,83.94583940505981,0.8994140625,0.002144607843137255,0.2224960615680476,83.50605458059128,0.9092356687898089,dthreeq_forward_target_nudge0p1_lr1e3,0.022731048243792955,0.00044828847246135414
4.0,dthreeq_forward_target,0.043253312089071155,0.0022234451105282876,2025,0.11622395844252151,0.20332241896539927,83.90636563301086,0.8935546875,0.0021110983455882356,0.21014264235450963,83.46647391349647,0.9034633757961783,dthreeq_forward_target_nudge0p1_lr1e3,0.022876319468439682,0.00034178945929196167
5.0,dthreeq_forward_target,0.04162049075220801,0.002204321218933433,2025,0.11311796473214628,0.19338378170505166,83.87388777732849,0.890625,0.00209195006127451,0.19980898993030474,83.43588514388746,0.8994824840764332,dthreeq_forward_target_nudge0p1_lr1e3,0.02300868386848935,0.0002744020893310476
6.0,dthreeq_forward_target,0.04022265868676696,0.002193393280879229,2025,0.11049304379277809,0.18505779840052128,83.84790277481079,0.88623046875,0.0020862055759803926,0.19120947048542605,83.3964280535461,0.8955015923566879,dthreeq_forward_target_nudge0p1_lr1e3,0.0231275139667878,0.00022772382343867425
7.0,dthreeq_forward_target,0.03896097020263885,0.0021850021855876114,2025,0.1082888984241505,0.17810474755242467,83.8279767036438,0.88232421875,0.0020814185049019608,0.18383738911075956,83.42066503634119,0.8912221337579618,dthreeq_forward_target_nudge0p1_lr1e3,0.023235493996942715,0.00019330707327582715
8.0,dthreeq_forward_target,0.03794278947126334,0.0021822702010740585,2025,0.10648691976905629,0.17231501266360283,83.81280493736267,0.876953125,0.0020814185049019608,0.17793283976946667,83.37171231409546,0.8889331210191083,dthreeq_forward_target_nudge0p1_lr1e3,0.023331471457391922,0.0001675766990983153
9.0,dthreeq_forward_target,0.03701710057960954,0.002180123641813413,2025,0.10493597491484159,0.16747595369815826,83.80190181732178,0.8720703125,0.0020862055759803926,0.17276868879035778,83.38249065617846,0.886843152866242,dthreeq_forward_target_nudge0p1_lr1e3,0.0234162620263631,0.0001463055986087233
