variant,family,best_test_error_mean,best_test_error_std,best_test_error_min,best_test_error_max,final_test_error_mean,final_test_error_std,final_test_error_min,final_test_error_max,final_test_cost_mean,final_test_cost_std,final_test_cost_min,final_test_cost_max,final_train_error_mean,final_train_error_std,final_train_error_min,final_train_error_max,final_train_cost_mean,final_train_cost_std,final_train_cost_min,final_train_cost_max,final_train_energy_mean,final_train_energy_std,final_train_energy_min,final_train_energy_max,state_delta_mean,state_delta_std,state_delta_min,state_delta_max,saturation_mean,saturation_std,saturation_min,saturation_max,weight_abs_mean_mean,weight_abs_mean_std,weight_abs_mean_min,weight_abs_mean_max,weight_update_rel_mean_mean,weight_update_rel_mean_std,weight_update_rel_mean_min,weight_update_rel_mean_max,duration_sec_mean,duration_sec_std,duration_sec_min,duration_sec_max
dthreeq_ep_nudge0p1_lr3e3,dthreeq,0.16064453125,0.00621480569402239,0.15625,0.1650390625,0.16455078125,0.0020716018980074633,0.1630859375,0.166015625,0.0531903964583762,0.001958570059519881,0.05180547828786075,0.05457531462889165,0.1513236464968153,0.002181559535905936,0.14978105095541402,0.15286624203821655,0.052812302366468555,0.0011630549186457534,0.051989898346601775,0.053634706386335336,59.62479404279381,1.117579897665899,58.834545718636484,60.415042366951134,0.04980718216763892,0.00015060483060950642,0.04970068847063549,0.049913675864642355,5.854252529037092e-07,2.759721108040416e-07,3.9028350193580615e-07,7.805670038716123e-07,0.08864923209325665,0.0025448335156008865,0.08684976305738447,0.09044870112912884,0.00092369241915525,1.2185928463233059e-05,0.0009150756665038438,0.0009323091718066562,304.6435020158533,2.262965616585904,303.0433436827734,306.2436603489332
dthreeq_plus_energy_direct_lr1e3,dthreeq_plus_energy,0.450927734375,0.041086770977148024,0.421875,0.47998046875,0.54833984375,0.04833737762017415,0.51416015625,0.58251953125,0.078688804525882,0.0029309458460972256,0.07661631284281611,0.0807612962089479,0.5304538216560509,0.06713573539529918,0.48298168789808915,0.5779259554140127,0.07796788087506204,0.002853498553951556,0.07595015269745688,0.07998560905266719,38.52828748666557,1.8094667377748015,37.24880128605351,39.80777368727763,0.09353792349990327,0.0018313819023831567,0.09224294093778582,0.09483290606202072,0.8979902351067813,0.01888449557021007,0.8846368802297985,0.9113435899837642,0.1472258503229215,0.0021177368862912017,0.1457283842098561,0.14872331643598688,0.0006065224706292905,1.5692939658273146e-06,0.0006054128122243788,0.000607632129034202,290.52170618483797,2.8644853236173673,288.4962091878988,292.54720318177715
dthreeq_plus_energy_direct_lr3e4,dthreeq_plus_energy,0.500244140625,0.024513955793088318,0.48291015625,0.517578125,0.500244140625,0.024513955793088318,0.48291015625,0.517578125,0.08184383623301983,0.0020714415424197695,0.08037910587154329,0.08330856659449637,0.5219944267515924,0.02434901933624063,0.5047770700636943,0.5392117834394905,0.08308790313305368,0.0003537594723069634,0.08283775741127646,0.08333804885483091,58.13895163566444,0.22444216302573128,57.98024706020477,58.29765621112411,0.10704223735993551,0.0016306435574844707,0.10588919824274008,0.10819527647713092,0.31022123220307235,0.006292302112387569,0.30577190271012866,0.31467056169601604,0.060814525549830925,0.0008100576649424031,0.06024172828179802,0.06138732281786384,0.00025163619041608894,4.907693147874734e-06,0.00024816592731124397,0.0002551064535209339,321.26659463276155,3.546123497538091,318.7591066607274,323.7740826047957
dthreeq_plus_energy_nudge0p1_lr1e3,dthreeq_plus_energy,0.54296875,0.049027911586176635,0.50830078125,0.57763671875,0.6318359375,0.02140655294607712,0.61669921875,0.64697265625,0.0933017882052809,0.0021946990130731173,0.09174990165047348,0.09485367476008832,0.6221636146496815,0.03399010502717977,0.5981289808917197,0.6461982484076433,0.08937760603845499,0.002050505722507368,0.08792767953720822,0.09082753253970177,36.23809279909559,1.5016806024628695,35.176244261917795,37.299941336273385,0.07304723887292039,0.001219033312732078,0.07218525215099524,0.07390922559484554,0.9011094784251281,0.020932070646320192,0.8863082693268391,0.915910687523417,0.14367277583902238,0.0019721340498918853,0.14227826647893496,0.14506728519910983,0.0005479663656859804,3.747287375099665e-06,0.0005453166333719928,0.0005506160979999681,253.2828643762041,0.13825010598559703,253.1851067887619,253.38062196364626
dthreeq_forward_target_direct_lr1e3,dthreeq_forward_target,0.7216796875,0.02554975674209205,0.70361328125,0.73974609375,0.7216796875,0.02554975674209205,0.70361328125,0.73974609375,0.11623376084025949,0.001481210984336511,0.11518638650886714,0.11728113517165184,0.7449741242038217,0.028641765519797458,0.7247213375796179,0.7652269108280255,0.11906580949664874,0.0039173344053991905,0.11629583577441562,0.12183578321888189,83.52490436043709,0.2720235475235933,83.33255466534074,83.71725405553345,0.12785627633951618,0.0028234309998789375,0.12585980913328945,0.1298527435457429,0.0020700636942675146,0.000250858648720874,0.0018926798426376907,0.0022474475458973387,0.024123639213346117,3.876458623012054e-05,0.02409622851155291,0.024151049915139326,5.386505451329663e-05,5.642435250487197e-07,5.346607409049408e-05,5.426403493609918e-05,253.03584853024222,0.07129330436452266,252.98543655127287,253.08626050921157
dthreeq_forward_target_nudge0p1_lr1e3,dthreeq_forward_target,0.78955078125,0.02209708691207961,0.77392578125,0.80517578125,0.78955078125,0.02209708691207961,0.77392578125,0.80517578125,0.12870024470612407,0.00309837156762872,0.1265093651600182,0.13089112425222993,0.8056329617834395,0.02068962914697895,0.7910031847133758,0.8202627388535032,0.13157562902019282,0.0056265855517286575,0.12759703222163923,0.1355542258187464,83.55133892472382,0.26116354705478345,83.36666840960265,83.73600943984499,0.09278930517382161,0.0024882160103613864,0.09102987075983814,0.09454873958780508,0.0020720151117771934,0.00024975476027765803,0.0018954118271512408,0.002248618396403146,0.024016804461454485,2.2763450395851625e-05,0.024000708271316375,0.024032900651592595,4.767753177601351e-05,1.5027739463663241e-07,4.75712696112069e-05,4.778379394082012e-05,252.19601342640817,0.20232560515049167,252.0529476189986,252.33907923381776
dthreeq_bidir_target_direct_lr1e3,dthreeq_bidir_target,0.820068359375,0.02106128596307588,0.80517578125,0.8349609375,0.820068359375,0.02106128596307588,0.80517578125,0.8349609375,0.13700847188010812,0.004288309468537363,0.13397617917507887,0.14004076458513737,0.8372312898089171,0.01189301811510028,0.8288216560509554,0.845640923566879,0.13977784124814022,0.006759786022038634,0.13499795071258666,0.14455773178369377,81.19935846025018,0.24245892816596915,81.0279141079848,81.37080281251555,0.1378090300639516,0.003933887565995229,0.13502735148961093,0.14059070863829226,0.002024498095416509,0.00023995775034411364,0.0018548223429499177,0.0021941738478831003,0.024046168439575816,3.699346605068254e-05,0.024020010108871784,0.02407232677027985,9.89041208835836e-05,4.779847996351863e-07,9.856613459045746e-05,9.924210717670974e-05,252.47592673101462,0.021188279356723013,252.4609443549998,252.49090910702944
