epoch,family,input_recon_energy,input_recon_energy_frac,objective,saturation,seed,state_delta,state_test_cost,state_test_error,state_train_cost,state_train_error,test_cost,test_energy,test_error,test_saturation,train_cost,train_energy,train_error,variant,weight_abs_mean,weight_update_rel_mean,weighted_input_recon_energy_frac
0.0,dthreeq_readout,41.279242667422935,0.7739929692007108,-11.655941375537214,0.00020792832058196353,42,0.06053784985935737,0.048690837968117115,0.17963773885350318,0.060445230756042356,0.27513659381663114,0.641637688039974,53.33351888474385,0.1624203821656051,6.595791182715117e-05,1.1269154325604185,57.198088046075945,0.28081689765458423,dthreeq_ep_readout_nudge0p1_lr3e3,0.03416580108605248,60.484528414122465,0.7739929692007108
1.0,dthreeq_readout,37.89262409574667,0.7880143257676891,-9.99142990437652,4.3865493958777406e-05,42,0.052683343647419216,0.04551427358180095,0.15644904458598727,0.047641186250139404,0.18038712686567165,0.4830269923635349,48.08411859402991,0.14171974522292993,5.3468839765205376e-05,0.5636211702627922,51.09285432290929,0.1564165778251599,dthreeq_ep_readout_nudge0p1_lr3e3,0.04493820981749558,0.0014455852108401237,0.7880143257676891
2.0,dthreeq_readout,36.34854023927336,0.7696924022146012,-8.717316788142679,0.00024852758267486014,42,0.05115007012779676,0.04407343669397056,0.15057722929936307,0.045482251392022124,0.16811034115138593,0.4391876979238668,47.22519494317899,0.1282842356687898,0.0006550908579992494,0.48151622841289554,46.0613720005255,0.14214085820895522,dthreeq_ep_readout_nudge0p1_lr3e3,0.05749736409505277,0.0012400933922930707,0.7696924022146012
3.0,dthreeq_readout,28.116798765340427,0.5127843959479311,-10.434878985764884,0.00022677447844809506,42,0.05085517513925142,0.04820321210820204,0.15575238853503184,0.04751067126451779,0.16634461620469082,0.4389106206073882,54.85367960838755,0.13276273885350318,2.1270450855501405e-05,0.46093791416649627,56.19883456362336,0.13805970149253732,dthreeq_ep_readout_nudge0p1_lr3e3,0.07088667014924023,0.0013463269501732972,0.5127843959479311
4.0,dthreeq_readout,32.102143172245874,0.5006863832487631,-14.389763773123084,6.271165182490893e-06,42,0.050458829727709924,0.05329122406187331,0.15416003184713375,0.051930289262774654,0.16372934434968017,0.4202938840077941,64.18776753905472,0.12589570063694266,1.3659922567753217e-06,0.4466211289119746,58.610364210376865,0.1349280383795309,dthreeq_ep_readout_nudge0p1_lr3e3,0.08536136061087676,0.000905892514542279,0.5006863832487631
5.0,dthreeq_readout,31.996408000873153,0.4717598030506549,-15.419262151982485,6.271165182490892e-06,42,0.049954901467626496,0.05600919792796396,0.15027866242038215,0.0593323134132095,0.16203025053304904,0.41363917367093883,67.93356075408353,0.1237062101910828,2.4783002372923675e-05,0.4325599481047852,63.412754770535145,0.1300639658848614,dthreeq_ep_readout_nudge0p1_lr3e3,0.10097310609551075,0.0008450632130256885,0.4717598030506549
6.0,dthreeq_readout,30.91882450565411,0.4927597084710995,-25.08780078847271,0.0002464045319620377,42,0.05059054317481534,0.06972164012918806,0.15306528662420382,0.0627569041050065,0.1597814498933902,0.4135591148570844,62.839606752820835,0.1259952229299363,0.0,0.42977177194440797,65.07616454655174,0.1287146855010661,dthreeq_ep_readout_nudge0p1_lr3e3,0.11906659445908568,0.0016443470198419356,0.4927597084710995
7.0,dthreeq_readout,25.215493426960744,0.33944355631003265,-29.894839760591225,0.00012065460512563208,42,0.05020088303612291,0.058508436747227506,0.14589968152866242,0.07293634128564203,0.16006463219616204,0.40889812189682273,74.50124971426217,0.12340764331210191,0.0001762130011240162,0.4273369088054085,64.00434243907806,0.12881463219616204,dthreeq_ep_readout_nudge0p1_lr3e3,0.14118626238845253,0.0019015874732866305,0.33944355631003265
8.0,dthreeq_readout,101.54979258737747,0.6429084716932617,-47.08981634762242,0.00031114124754379316,42,0.05170675286730783,0.05427542874577698,0.1559514331210191,0.08155543296369536,0.15736607142857142,0.478054580035483,158.0435284171135,0.1493829617834395,0.015660515798676153,0.4225446436006123,68.95984880654797,0.12718216950959488,dthreeq_ep_readout_nudge0p1_lr3e3,0.189849398789559,0.002179671762263107,0.6429084716932617
9.0,dthreeq_readout,318.1169319881755,0.8686649470274587,-1537.808970339517,0.07069161153267274,42,0.13732059432048677,0.3750178468455175,0.7862261146496815,0.19430239722609266,0.39289045842217485,4.899994655779213,365.7057674918205,0.7121815286624203,0.18737530442113157,2.1568750688103218,387.32937745702293,0.40055303837953093,dthreeq_ep_readout_nudge0p1_lr3e3,0.4606432456540307,0.018660008705557226,0.8686649470274587
10.0,dthreeq_readout,355.9794986020228,0.8472651603129485,-1837.4826508219055,0.26369922969187665,42,0.2315016419523513,0.5677390204873055,0.8272292993630573,0.4702513775607543,0.7445362473347548,2.3839068906322405,420.1238483015899,0.7426353503184714,0.3471452713250905,3.9660092140438716,472.69397330538294,0.7516824360341151,dthreeq_ep_readout_nudge0p1_lr3e3,0.6427485880619193,0.01811937637639582,0.8472651603129485
11.0,dthreeq_readout,327.098709592394,0.6866061540847701,-2135.7035622342564,0.37212310297253237,42,0.25946738642217443,0.6222819199987278,0.8749004777070064,0.543175305241842,0.790978144989339,2.6671457655110937,476.2721227172074,0.8253383757961783,0.44573107905582615,2.96593947336872,516.0751489505077,0.7764692164179104,dthreeq_ep_readout_nudge0p1_lr3e3,0.7512519459832392,0.013706411520575676,0.6866061540847701
12.0,dthreeq_readout,282.2471890783614,0.5758371693446784,-2262.4099421389324,0.4317313445900743,42,0.268442005751583,0.4162343563927207,0.81140525477707,0.5584040036174789,0.7933268923240938,2.1623411618979875,490.26957595728004,0.8340963375796179,0.46803422005744977,2.3780794058527266,540.1990642100255,0.7759694829424307,dthreeq_ep_readout_nudge0p1_lr3e3,0.8270492574439815,0.012493102849743634,0.5758371693446784
13.0,dthreeq_readout,307.20115826843653,0.37816627374411416,-2432.9712463248766,0.4630000274363471,42,0.26597053576151586,0.5646431239167596,0.6907842356687898,0.5386995781681685,0.7937266791044776,2.000934227257018,812.6837255392865,0.7083996815286624,0.4493800346571749,2.1711500060837916,556.7183857086117,0.7646255330490405,dthreeq_ep_readout_nudge0p1_lr3e3,0.8871818132857894,0.012242823049882853,0.37816627374411416
14.0,dthreeq_readout,343.2613064711261,0.4073835278724776,-2598.911012173716,0.49156773250344893,42,0.27128403195674455,0.6390545861736224,0.8318073248407644,0.5468732774225887,0.793043710021322,1.9782749042389498,845.0236184672945,0.7575636942675159,0.5355593152866239,2.133305692088121,571.463450157312,0.7633928571428571,dthreeq_ep_readout_nudge0p1_lr3e3,0.9439364141600429,0.012066803574141126,0.4073835278724776
15.0,dthreeq_readout,292.4265200863978,0.5114583012848937,-2772.848395211356,0.5059466650466168,42,0.27313458558364606,0.5156708380598931,0.8907245222929936,0.5577363706569174,0.787213486140725,1.9296491161273543,571.9468904726065,0.6702826433121019,0.5747767578368926,2.0995491721482673,595.5675898309964,0.7590451759061834,dthreeq_ep_readout_nudge0p1_lr3e3,0.9984053958126449,0.011128649785950276,0.5114583012848937
16.0,dthreeq_readout,313.1142340982036,0.42010395068609796,-2661.591843269527,0.553728534324178,42,0.2767682032866169,0.7347110399774684,0.8597730891719745,0.5851666238992962,0.8252098880597015,2.1778923462910256,745.660038067277,0.805234872611465,0.5711283876607965,2.1798475411400866,569.003013171621,0.7907949093816631,dthreeq_ep_readout_nudge0p1_lr3e3,1.0388847352732826,0.010438952586086991,0.42010395068609796
