variant,family,best_test_error_mean,best_test_error_std,final_test_error_mean,final_train_error_mean,state_delta_mean,saturation_mean,duration_sec_mean
bp_mlp_500_adam,bp_mlp,0.0546875,0.005524271728019903,0.05859375,0.007464171974522293,,,40.424149218946695
dthreeq_ep_nudge0p1_lr1e3,dthreeq,0.196533203125,0.020370751997073392,0.196533203125,0.2018809713375796,0.05611775361133478,9.51316035968526e-05,122.40218034968711
dthreeq_ep_nudge0p01_lr1e3,dthreeq,0.25244140625,0.00621480569402239,0.273681640625,0.2441281847133758,0.010126722524251053,1.912389159485448e-05,156.9875166756101
dthreeq_ep_nudge0p01_lr3e4,dthreeq,0.3388671875,0.0013810679320049757,0.3388671875,0.35280652866242035,0.011499536778721484,4.7809728987136255e-06,159.04394726338796
dthreeq_dplus_direct_lr1e3,dthreeq,0.89599609375,0.0013810679320049757,0.896728515625,0.9045083598726114,0.16107495050694925,0.002005179062070686,122.6556208843831
dthreeq_dplus_layergain_lr1e3,dthreeq_variant_objective,0.89599609375,0.0013810679320049757,0.89697265625,0.9044585987261147,0.16106621419364336,0.002003422786311975,123.35401996038854
dthreeq_dplus_direct_lr3e4,dthreeq,0.909423828125,0.003797936813013683,0.90966796875,0.916202229299363,0.18065524340316558,0.0021205078368927172,122.17638846137561
