epoch,family,objective,saturation,seed,state_delta,test_cost,test_energy,test_error,test_saturation,train_cost,train_energy,train_error,variant,weight_abs_mean,weight_update_rel_mean
0.0,bp_mlp,,,42,,0.3629635125398636,,0.109375,,0.5297271166067974,,0.1480891719745223,bp_mlp_500_adam,,
1.0,bp_mlp,,,42,,0.3184883678331971,,0.091796875,,0.2804250441918707,,0.08578821656050956,bp_mlp_500_adam,,
2.0,bp_mlp,,,42,,0.2923125154338777,,0.08935546875,,0.2281918705791045,,0.06817277070063694,bp_mlp_500_adam,,
3.0,bp_mlp,,,42,,0.2559033802244812,,0.07763671875,,0.18730107925025521,,0.058817675159235666,bp_mlp_500_adam,,
4.0,bp_mlp,,,42,,0.23958067083731294,,0.076171875,,0.1563953816605981,,0.044785031847133755,bp_mlp_500_adam,,
5.0,bp_mlp,,,42,,0.21567315817810595,,0.06640625,,0.1259087081168108,,0.038913216560509556,bp_mlp_500_adam,,
6.0,bp_mlp,,,42,,0.2132600685581565,,0.068359375,,0.10407027954556,,0.03095143312101911,bp_mlp_500_adam,,
7.0,bp_mlp,,,42,,0.20727862080093473,,0.060546875,,0.08455888360477747,,0.024781050955414014,bp_mlp_500_adam,,
8.0,bp_mlp,,,42,,0.21277495264075696,,0.06201171875,,0.06715611963989629,,0.01721735668789809,bp_mlp_500_adam,,
9.0,bp_mlp,,,42,,0.21102194563718513,,0.05859375,,0.05428089896086485,,0.013634554140127389,bp_mlp_500_adam,,
10.0,bp_mlp,,,42,,0.19841503829229623,,0.05859375,,0.043131095986030286,,0.009554140127388535,bp_mlp_500_adam,,
11.0,bp_mlp,,,42,,0.21317387965973467,,0.06640625,,0.034057179038786585,,0.0064689490445859876,bp_mlp_500_adam,,
0.0,dthreeq,-135.8383544144357,0.00023124297489696477,2025,0.015437610987217942,0.0826250568497926,53.37492525577545,0.4970703125,9.861366421568626e-05,0.11486410947552153,58.87107074032923,0.6873009554140127,dthreeq_ep_nudge0p01_lr1e3,0.029806270758518234,212.73920384668497
1.0,dthreeq,-123.01232890718302,6.634819532908694e-05,2025,0.01290612482869179,0.07402827218174934,51.12351632118225,0.42333984375,3.7339154411764695e-05,0.0804082716631282,52.13668879126288,0.48138933121019106,dthreeq_ep_nudge0p01_lr1e3,0.03317459694860254,0.0032053888834568
2.0,dthreeq,-110.9283058506668,2.6734419882602695e-05,2025,0.012163924063692332,0.06999459839425981,49.08431947231293,0.3740234375,1.3403799019607843e-05,0.07389798603809564,50.03207956301938,0.42008359872611467,dthreeq_ep_nudge0p01_lr1e3,0.03544654921186601,0.002787041254783524
3.0,dthreeq,-101.46528596331359,5.463969027101287e-06,2025,0.011656782664002696,0.06511401629541069,46.81813955307007,0.3193359375,9.574142156862745e-07,0.06900483293897787,47.76776455921732,0.3691281847133758,dthreeq_ep_nudge0p01_lr1e3,0.03775590971396987,0.0024856486377117285
4.0,dthreeq,-95.10618562151672,1.5611340077432246e-06,2025,0.011301312510333481,0.0628523740451783,44.99887704849243,0.29638671875,9.574142156862745e-07,0.06525213392392086,45.597826234853954,0.32633359872611467,dthreeq_ep_nudge0p01_lr1e3,0.04000641495377941,0.002273778249110775
5.0,dthreeq,-90.50121914808918,3.3174097664543526e-06,2025,0.011044189010622206,0.06073558866046369,43.981136322021484,0.279296875,2.8722426470588235e-06,0.06264134717120487,44.23022101335465,0.30125398089171973,dthreeq_ep_nudge0p01_lr1e3,0.04173578043352623,0.002161912458296357
