variant,method,target_mode,beta_sign,seed,dataset,n_epochs,infer_steps,infer_lr,weight_lr,activation,best_epoch,best_test_error,final_test_error,final_test_cost,final_test_energy,final_train_error,final_train_cost,final_train_energy,objective,state_delta,saturation,weight_abs_mean,weight_update_rel_mean,duration_sec,device,training_iteration,config/experiment_name,config/variant,config/weight_lr,config/seed,config/dataset,config/n_samples,config/test_size,config/noise,config/hidden_sizes,config/batch_size,config/n_epochs,config/infer_steps,config/infer_lr,config/activation,config/bias,config/state_clip
dplus_gradual_100_0p01_plus,dplus,gradual_clamp_100_0.01,plus,7,twomoons,30.0,15.0,0.05,0.001,tanh,29,0.2956730769230769,0.2956730769230769,0.4657105918114002,1.3048322659272413,0.264375,0.4627441281080246,1.3023736953735352,0.010172223076224327,0.10364942587912085,0.0,0.06344278731408848,0.0003377331461409009,531.8469686298631,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_gradual_100_0p01_plus,0.001,7,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p01_plus,dplus,nudge_0.01,plus,7,twomoons,30.0,15.0,0.05,0.0001,tanh,0,0.31009615384615385,0.31009615384615385,0.505331413103984,1.2766264860446637,0.27625,0.5017945635318756,1.2749101519584656,0.000888801523251459,0.027640576106496156,0.0,0.059828068472691884,0.00033761156365795595,240.10700592398643,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p01_plus,0.0001,7,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p01_plus,dplus,nudge_0.01,plus,42,twomoons,30.0,15.0,0.05,0.0001,tanh,0,0.2668269230769231,0.2668269230769231,0.4493168523678413,1.2068634308301485,0.26875,0.45069445550441745,1.210532157421112,0.0008936546219047159,0.0267364354012534,0.0,0.05702347203003432,0.00033699371038589416,236.79104944271967,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p01_plus,0.0001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p1_plus,dplus,nudge_0.1,plus,7,twomoons,30.0,15.0,0.05,0.001,tanh,29,0.2668269230769231,0.2668269230769231,0.4391302718566014,1.2912586744015033,0.243125,0.4364637672901154,1.289252598285675,0.02285748392343521,0.1307629507035017,0.0,0.06395647627261725,0.0003331994151416934,243.08280616858974,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p1_plus,0.001,7,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_direct,dplus,direct_clamp,plus,42,twomoons,30.0,15.0,0.05,0.0001,tanh,20,0.25961538461538464,0.25961538461538464,0.4427046752893008,1.2066096159128041,0.265625,0.4441841506958008,1.2102704048156738,0.036100158318877223,0.16965902209592357,0.0,0.0574295268862261,0.00033661278361086713,389.3205623519607,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_direct,0.0001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p01_plusminus,dplus,nudge_0.01,plusminus,7,twomoons,30.0,15.0,0.05,0.0001,tanh,0,0.31009615384615385,0.31009615384615385,0.5068248808383942,1.2765518793692956,0.276875,0.5032646840810776,1.27483469247818,0.0010984098422341048,0.02986865553228806,0.0,0.05975917763710289,0.00033700482097870626,341.0297639439814,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p01_plusminus,0.0001,7,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_direct,dplus,direct_clamp,plus,7,twomoons,30.0,15.0,0.05,0.001,tanh,23,0.2668269230769231,0.2668269230769231,0.42603034239548904,1.2951584595900316,0.236875,0.4234864366054535,1.2930717468261719,0.03347865469753742,0.1606943692266941,0.0,0.06480249088028586,0.0003302446450723488,242.2608997472562,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_direct,0.001,7,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
ep_nudge_0p01_plus,ep,nudge_0.01,plus,42,twomoons,30.0,15.0,0.05,0.001,tanh,18,0.11778846153846154,0.12740384615384615,0.15973635132496172,3.783940865443303,0.143125,0.16556553333997726,3.7899027395248415,-23.539386100769043,0.02088695745915175,0.0,0.3794408957163493,0.0009736375541053144,382.6611845931038,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,ep_nudge_0p01_plus,0.001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p001_plus,dplus,nudge_0.001,plus,7,twomoons,30.0,15.0,0.05,0.0001,tanh,0,0.31009615384615385,0.31009615384615385,0.5065876726920788,1.2765631125523493,0.276875,0.5030309933423996,1.2748460483551025,6.588486277905758e-05,0.004806899650332829,0.0,0.05975902888324081,0.0003367796863556536,276.34132587118074,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p001_plus,0.0001,7,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p01_plus,dplus,nudge_0.01,plus,42,twomoons,30.0,15.0,0.05,0.001,tanh,28,0.2548076923076923,0.2548076923076923,0.43839842539567214,1.2087191068209135,0.264375,0.4399405652284622,1.2123459196090698,0.0008713152515701949,0.026359298474465803,0.0,0.0578337259747237,0.0003386180974258851,226.17665803106502,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p01_plus,0.001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
bp_tanh,bp,,,2025,twomoons,,,,0.0001,,29,0.18028846153846154,0.18028846153846154,0.6479894473002508,,0.199375,0.6469836091995239,,,,,,,16.333406853023916,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,bp_tanh,0.0001,2025,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p1_plus,dplus,nudge_0.1,plus,42,twomoons,30.0,15.0,0.05,0.0001,tanh,25,0.25961538461538464,0.25961538461538464,0.44411559517566973,1.2066549612925603,0.26625,0.4455732560157776,1.2103178238868713,0.02405522670596838,0.13658044431203353,0.0,0.05734260065875925,0.00033700443278087696,236.7657009549439,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p1_plus,0.0001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
bp_tanh,bp,,,42,twomoons,,,,0.001,,10,0.11778846153846154,0.13701923076923078,0.4686323839884538,,0.136875,0.48216006100177766,,,,,,,13.666647532954812,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,bp_tanh,0.001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_gradual_100_0p01_plus,dplus,gradual_clamp_100_0.01,plus,7,twomoons,30.0,15.0,0.05,0.0001,tanh,0,0.31009615384615385,0.31009615384615385,0.5023017892470727,1.2786856889724731,0.275625,0.49881229043006897,1.2769161748886109,0.010847123488783837,0.11026559835920731,0.0,0.06010839117945201,0.00033925336521926615,443.4169898349792,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_gradual_100_0p01_plus,0.0001,7,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
