variant,mean,std,min,max
ep_gradual_100_0p01_plus,0.15645032051282048,0.05179522361671976,0.1177884615384615,0.2884615384615384
ep_nudge_0p01_plus,0.19310897435897434,0.10612292525406145,0.1153846153846153,0.5
bp_tanh,0.3365384615384615,0.2176823538582773,0.1177884615384615,0.78125
dplus_direct,0.3501602564102564,0.11368454241360419,0.2163461538461538,0.5
dplus_nudge_0p1_plus,0.3505608974358974,0.11334903775252188,0.21875,0.5
dplus_gradual_100_0p01_plus,0.3553685897435897,0.10894409244778724,0.2403846153846154,0.5
dplus_nudge_0p01_plus,0.3577724358974359,0.10688006028126618,0.2548076923076923,0.5
dplus_nudge_0p001_plus,0.358974358974359,0.10577585272765137,0.2668269230769231,0.5
dplus_nudge_0p01_plusminus,0.358974358974359,0.10577585272765136,0.2668269230769231,0.5
