variant,best_test_error_mean,best_test_error_std,best_test_error_min,best_test_error_max,final_test_error_mean,final_test_error_std,final_test_error_min,final_test_error_max,final_train_error_mean,final_train_error_std,final_train_error_min,final_train_error_max,final_minus_best_mean,final_minus_best_std,final_minus_best_min,final_minus_best_max,objective_mean,objective_std,objective_min,objective_max,state_delta_mean,state_delta_std,state_delta_min,state_delta_max,saturation_mean,saturation_std,saturation_min,saturation_max,weight_abs_mean_mean,weight_abs_mean_std,weight_abs_mean_min,weight_abs_mean_max,weight_update_rel_mean_mean,weight_update_rel_mean_std,weight_update_rel_mean_min,weight_update_rel_mean_max,duration_sec_mean,duration_sec_std,duration_sec_min,duration_sec_max
ep_gradual_100_0p01_plus,0.15645032051282048,0.05179522361671976,0.1177884615384615,0.2884615384615384,0.22636217948717943,0.11063787339152722,0.1346153846153846,0.5072115384615384,0.18979166666666666,0.0676273700083215,0.131875,0.30375,0.06991185897435898,0.11745331196157575,0.0,0.37740384615384615,-39.06673177719116,16.13950099842356,-65.06255470275879,-6.90473747253418,0.0932862488353728,0.005810488102416737,0.0841333845412979,0.1043152054647604,0.0006985609965635583,0.0013478784709075437,0.0,0.0037403350515463,0.3142823265344163,0.21671113490617544,0.0982373832399025,0.7218822420636812,0.0011492821472256667,0.0016018707052953864,0.0003286330071155,0.0057431991120576,497.3748443368434,90.17395346305476,374.6439066999592,636.4084995207377
ep_nudge_0p01_plus,0.19310897435897434,0.10612292525406145,0.1153846153846153,0.5,0.20232371794871792,0.10179493555613255,0.1225961538461538,0.5,0.18932291666666667,0.10062498529550053,0.131875,0.499375,0.00921474358974359,0.012207155574160699,0.0,0.03605769230769229,-16.711607711315157,11.059732840670538,-41.17126953125,-8.813827276229858,0.023330715602496593,0.0016692983988475384,0.0208869574591517,0.0266777180399124,0.0,0.0,0.0,0.0,0.1807954667885335,0.13363592784067566,0.0693940820618687,0.4143681436404586,0.0005390736021811083,0.0003810544231803869,0.0003244842344484,0.001383746093628,254.4129795525611,52.77744243298079,187.0220853658393,382.6611845931038
bp_tanh,0.3365384615384615,0.2176823538582773,0.1177884615384615,0.78125,0.3407451923076923,0.21349403270050066,0.1370192307692307,0.78125,0.32927083333333335,0.20986904624543776,0.13,0.754375,0.00420673076923076,0.007540919059431203,0.0,0.019230769230769204,,,,,,,,,,,,,,,,,,,,,13.508026708111478,1.4388533896120028,10.804120725020766,16.333406853023916
dplus_direct,0.3501602564102564,0.11368454241360419,0.2163461538461538,0.5,0.3501602564102564,0.11368454241360419,0.2163461538461538,0.5,0.34041666666666665,0.11836520590822698,0.225625,0.499375,0.0,0.0,0.0,0.0,0.03895167702808972,0.004639531350065869,0.031415371671319,0.0458716247230768,0.17789963999323335,0.01268667386510329,0.1589569461454327,0.1967952552204951,0.0,0.0,0.0,0.0,0.06002834990156781,0.002517767212376791,0.0569826909313221,0.0648024908802858,0.0003308561484408917,6.817757974068369e-06,0.0003186932882767,0.0003376870585532,257.7371711701465,46.45854362260567,216.48632593406364,389.3205623519607
dplus_nudge_0p1_plus,0.3505608974358974,0.11334903775252188,0.21875,0.5,0.3505608974358974,0.11334903775252188,0.21875,0.5,0.3422395833333334,0.11668341076407511,0.236875,0.499375,0.0,0.0,0.0,0.0,0.026170004419982382,0.003104720657273776,0.0213793215155601,0.0308499315008521,0.1434355391696509,0.00985849522225681,0.1290348448526735,0.1580542818239579,0.0,0.0,0.0,0.0,0.05978387767278051,0.0022163140426016774,0.0569738076460902,0.0639564762726172,0.0003313882242133917,7.303549189541185e-06,0.0003181150682797,0.0003375888258981,240.88132532934347,18.58649580217294,204.2886365950108,275.48074411507696
dplus_gradual_100_0p01_plus,0.3553685897435897,0.10894409244778724,0.2403846153846154,0.5,0.3553685897435897,0.10894409244778724,0.2403846153846154,0.5,0.34609375000000003,0.11333845538364284,0.256875,0.499375,0.0,0.0,0.0,0.0,0.011253781573226,0.0005754886226611467,0.0101722230762243,0.0120348931662738,0.1116458208729616,0.00757144057048241,0.1016461671392123,0.1225876904961963,0.0,0.0,0.0,0.0,0.05957179910235916,0.001974418763272732,0.0569660787699573,0.0634427873140884,0.0003377338441811083,1.7381702717976607e-06,0.0003347240336766,0.0003392767204205,494.44122586228576,60.238970443226265,406.1067102700472,624.1898944238201
dplus_nudge_0p01_plus,0.3577724358974359,0.10688006028126618,0.2548076923076923,0.5,0.3577724358974359,0.10688006028126618,0.2548076923076923,0.5,0.3478125,0.11199333507969449,0.264375,0.499375,0.0,0.0,0.0,0.0,0.0009561286278766917,0.00010354184495192286,0.0008665176015347,0.0011052476707845,0.028386875126873,0.001966873032379985,0.0263592984744658,0.0311566994463404,0.0,0.0,0.0,0.0,0.058841102782897836,0.0013198003159624007,0.0569415689604166,0.060710680024437,0.00033233182936165,8.81391263235484e-06,0.0003167782769889,0.0003391991338588,230.2441009732817,28.17096038997418,181.2812665463425,270.7784390677698
dplus_nudge_0p001_plus,0.358974358974359,0.10577585272765137,0.2668269230769231,0.5,0.358974358974359,0.10577585272765137,0.2668269230769231,0.5,0.34890625,0.11117564068799589,0.268125,0.499375,0.0,0.0,0.0,0.0,6.160539987225395e-05,4.659745821476267e-06,5.542678845813498e-05,6.652496129390784e-05,0.005438098288141142,0.0007380381291189037,0.0047945789325361,0.0064294682024046,0.0,0.0,0.0,0.0,0.058644641651152844,0.0012495419050952976,0.0569351933787121,0.0600286116547257,0.0003314849421112917,1.0016875150698343e-05,0.0003143137712864,0.0003398670451355,231.81934282024545,29.197907830600073,182.0883970200084,276.34132587118074
dplus_nudge_0p01_plusminus,0.358974358974359,0.10577585272765136,0.2668269230769231,0.5,0.358974358974359,0.10577585272765136,0.2668269230769231,0.5,0.3491666666666667,0.1109768522820153,0.270625,0.499375,0.0,0.0,0.0,0.0,0.0011052756841914999,0.00011794024480071758,0.0009699936769902,0.0012480765325017,0.030142351136051283,0.0016625726680260307,0.0283353673286425,0.0322329386145186,0.0,0.0,0.0,0.0,0.05862608123062884,0.0012610567576545773,0.0569340036170277,0.0600308794464331,0.00033778816960467503,1.3632345627728058e-05,0.0003151033395679,0.0003587680562353,306.1952229690505,35.91274136135353,230.9629931631498,341.0297639439814
