suite,config,best_error_mean,best_error_std,best_error_min,best_error_max,final_error_mean,final_error_std,final_error_min,final_error_max
dthreeq,ep_gradual_100_0p01_plus lr=1e-03,0.12900641025641021,0.00844203025068326,0.1201923076923077,0.1370192307692307,0.3741987179487179,0.11678668717276365,0.2884615384615384,0.5072115384615384
dthreeq,bp_tanh lr=1e-03,0.1362179487179487,0.019280784319737142,0.1177884615384615,0.15625,0.1522435897435897,0.014489696570532984,0.1370192307692307,0.1658653846153846
dthreeq,ep_nudge_0p01_plus lr=1e-03,0.1362179487179487,0.019280784319737142,0.1177884615384615,0.15625,0.15945512820512817,0.028170506139818845,0.1274038461538461,0.1802884615384615
dthreeq,ep_gradual_100_0p01_plus lr=1e-04,0.1426282051282051,0.02044447247143122,0.1274038461538461,0.1658653846153846,0.15865384615384612,0.012719958226272058,0.1442307692307692,0.1682692307692307
dthreeq,ep_gradual_100_0p01_plus lr=5e-05,0.14503205128205124,0.03316378539515201,0.1201923076923077,0.1826923076923076,0.15705128205128202,0.02272026743390673,0.1394230769230769,0.1826923076923076
dthreeq,ep_nudge_0p01_plus lr=1e-04,0.1538461538461538,0.0410769410832574,0.1153846153846153,0.1971153846153846,0.15624999999999997,0.03777940780168683,0.1225961538461538,0.1971153846153846
dthreeq,ep_nudge_0p01_plus lr=5e-05,0.1754807692307692,0.05369785553771322,0.1153846153846153,0.21875,0.18349358974358973,0.04039129218310436,0.1394230769230769,0.21875
minimal,ep_cost_w50,0.17833333648741242,0.03253203564401196,0.1450000025331974,0.2100000027567148,0.2816666737198829,0.1600260474805365,0.1700000021606683,0.4650000162422657
dthreeq,ep_gradual_100_0p01_plus lr=1e-05,0.20913461538461534,0.08596901318388298,0.1177884615384615,0.2884615384615384,0.21554487179487172,0.07723544350064684,0.1346153846153846,0.2884615384615384
dthreeq,bp_tanh lr=1e-04,0.21794871794871792,0.08244643306085228,0.1610576923076923,0.3125,0.21874999999999997,0.08162464829975793,0.1634615384615384,0.3125
minimal,ep_cost_w10,0.27666667290031904,0.1673569094787593,0.1450000025331974,0.4650000125169754,0.28166667434076464,0.16158074051453578,0.1600000031292438,0.4650000162422657
minimal,direct_cost_w50,0.28666667441527044,0.21519371944887375,0.155000002682209,0.535000017285347,0.49333334888021146,0.03685557513481926,0.4650000162422657,0.535000017285347
dthreeq,ep_nudge_0p01_plus lr=1e-05,0.3068910256410256,0.1730490985468851,0.1658653846153846,0.5,0.31009615384615385,0.17101131165223477,0.1682692307692307,0.5
minimal,ep_tied_w10,0.316666671137015,0.19623540813544557,0.155000002682209,0.5350000113248825,0.6666666815678278,0.13787071101159898,0.535000017285347,0.8100000143051147
minimal,direct_linear_w10,0.3266666750113169,0.1827794717245221,0.1650000050663948,0.5250000149011612,0.5266666779915492,0.027537847217051742,0.5000000149011612,0.5550000041723251
dthreeq,dplus_direct lr=1e-03,0.327724358974359,0.15131506661145547,0.2163461538461538,0.5,0.327724358974359,0.15131506661145547,0.2163461538461538,0.5
dthreeq,dplus_nudge_0p1_plus lr=1e-03,0.328525641025641,0.15043416989629246,0.21875,0.5,0.328525641025641,0.15043416989629246,0.21875,0.5
dthreeq,dplus_gradual_100_0p01_plus lr=1e-03,0.3453525641025641,0.13675187591788693,0.2403846153846154,0.5,0.3453525641025641,0.13675187591788693,0.2403846153846154,0.5
dthreeq,dplus_nudge_0p01_plus lr=1e-03,0.3541666666666667,0.12903378034231194,0.2548076923076923,0.5,0.3541666666666667,0.12903378034231194,0.2548076923076923,0.5
dthreeq,dplus_direct lr=1e-04,0.3557692307692308,0.1271995822627207,0.2596153846153846,0.5,0.3557692307692308,0.1271995822627207,0.2596153846153846,0.5
dthreeq,dplus_nudge_0p1_plus lr=1e-04,0.3565705128205128,0.12675208227070892,0.2596153846153846,0.5,0.3565705128205128,0.12675208227070892,0.2596153846153846,0.5
dthreeq,dplus_direct lr=5e-05,0.3581730769230769,0.12493063904025271,0.2644230769230769,0.5,0.3581730769230769,0.12493063904025271,0.2644230769230769,0.5
dthreeq,dplus_gradual_100_0p01_plus lr=1e-04,0.3581730769230769,0.12493063904025271,0.2644230769230769,0.5,0.3581730769230769,0.12493063904025271,0.2644230769230769,0.5
dthreeq,dplus_nudge_0p1_plus lr=5e-05,0.3581730769230769,0.12493063904025274,0.2644230769230769,0.5,0.3581730769230769,0.12493063904025274,0.2644230769230769,0.5
dthreeq,dplus_direct lr=1e-05,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
dthreeq,dplus_gradual_100_0p01_plus lr=1e-05,0.358974358974359,0.12403318166063454,0.2668269230769231,0.5,0.358974358974359,0.12403318166063454,0.2668269230769231,0.5
dthreeq,dplus_gradual_100_0p01_plus lr=5e-05,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
dthreeq,dplus_nudge_0p001_plus lr=1e-03,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
dthreeq,dplus_nudge_0p001_plus lr=1e-04,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
dthreeq,dplus_nudge_0p001_plus lr=1e-05,0.358974358974359,0.12403318166063448,0.2668269230769231,0.5,0.358974358974359,0.12403318166063448,0.2668269230769231,0.5
dthreeq,dplus_nudge_0p001_plus lr=5e-05,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
