epoch,E,delta,rho,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18,u_19
# n,30
# n_clamped,10
# n_tracked,10
# Lg,5.0
# seed,0
# lr,0.1
# num_epochs,100
# log_every,1
1,44.349632263183594,4.296896934509277,0.5666950941085815,-1.3436765670776367,1.6027328968048096,0.19933393597602844,0.062474049627780914,1.0060786008834839,1.044177532196045,0.01728471741080284,1.0022491216659546,1.3052377700805664,0.6883834600448608
2,29.467876434326172,3.333601713180542,0.5021709203720093,-1.0879738330841064,1.1174029111862183,0.10601998120546341,0.21497783064842224,0.7740094065666199,0.9232220649719238,0.11820728331804276,0.8479689359664917,1.1677138805389404,0.41023769974708557
3,21.56418228149414,2.6048789024353027,0.46171343326568604,-0.8958396911621094,0.763435423374176,0.025454891845583916,0.2977292239665985,0.583306074142456,0.8176332712173462,0.18796196579933167,0.733273983001709,1.0279254913330078,0.20916537940502167
4,17.199752807617188,2.023315906524658,0.3917262852191925,-0.7499609589576721,0.5075380206108093,-0.03989998251199722,0.33208394050598145,0.42717796564102173,0.7225713133811951,0.23190300166606903,0.6423060894012451,0.8933046460151672,0.06794881075620651
5,14.619132041931152,1.5845510959625244,0.5412181615829468,-0.6367236971855164,0.32740044593811035,-0.0896003469824791,0.3358783721923828,0.3022782802581787,0.6361132860183716,0.25812602043151855,0.5677173733711243,0.769591212272644,-0.025366296991705894
6,13.04000473022461,1.2863943576812744,0.5412181615829468,-0.5487576723098755,0.20316526293754578,-0.12357395887374878,0.32351547479629517,0.20367002487182617,0.5555299520492554,0.2719734311103821,0.5047340393066406,0.65839684009552,-0.0809205025434494
7,12.114588737487793,1.0407605171203613,0.5412181615829468,-0.4799536168575287,0.11806906014680862,-0.1444687843322754,0.30193954706192017,0.12583087384700775,0.47979551553726196,0.27712684869766235,0.4487641453742981,0.5606755614280701,-0.1092674732208252
8,11.560117721557617,0.8407856225967407,0.5949456691741943,-0.4249168038368225,0.061397600919008255,-0.15521259605884552,0.27529603242874146,0.06559185683727264,0.41017022728919983,0.2750351130962372,0.3975650668144226,0.4752081632614136,-0.11897588521242142
9,11.22956657409668,0.6896532773971558,0.5949456691741943,-0.3797338008880615,0.02518416754901409,-0.15831170976161957,0.24674832820892334,0.019915491342544556,0.3473205268383026,0.2666480839252472,0.3501833379268646,0.40066972374916077,-0.11615964025259018
