epoch,E,delta,rho,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18,u_19
# n,30
# n_clamped,10
# n_tracked,10
# Lg,10.0
# seed,0
# lr,0.1
# num_epochs,100
# log_every,1
1,76.1351318359375,5.275463104248047,1.0043418407440186,-1.3505128622055054,1.393061876296997,0.14932003617286682,0.2722993791103363,0.9828431606292725,1.14279305934906,0.1362169086933136,1.0309854745864868,1.4622195959091187,0.5283985137939453
2,45.151161193847656,3.888073205947876,0.7834524512290955,-1.1390130519866943,0.789220929145813,-0.030113646760582924,0.5349823236465454,0.7044960260391235,1.1131305694580078,0.34729039669036865,0.9717226028442383,1.4060735702514648,0.12292604148387909
3,32.733150482177734,3.1570372581481934,1.0824363231658936,-1.0221014022827148,0.3788931965827942,-0.2070605456829071,0.6496744155883789,0.453744500875473,1.075320839881897,0.5065248012542725,0.9617175459861755,1.296651005744934,-0.1570572406053543
4,25.20641326904297,2.5551419258117676,1.0824363231658936,-0.970312237739563,0.1219797432422638,-0.3477236330509186,0.6839967370033264,0.2394980639219284,1.0036996603012085,0.642492413520813,0.9703777432441711,1.175252079963684,-0.3079811632633209
5,20.776018142700195,2.0713067054748535,1.1105235815048218,-0.9621666073799133,-0.026933904737234116,-0.44872650504112244,0.6641635894775391,0.0638895109295845,0.9016513228416443,0.7550426125526428,0.9677708745002747,1.0546671152114868,-0.3581096827983856
6,18.315956115722656,1.7267675399780273,1.0562113523483276,-0.9756577014923096,-0.09810296446084976,-0.5141065120697021,0.617791473865509,-0.06747948378324509,0.7859033942222595,0.8260281085968018,0.946671724319458,0.9327954649925232,-0.33293190598487854
7,16.34463119506836,1.3016750812530518,1.0562113523483276,-0.9934819340705872,-0.13592185080051422,-0.5427687168121338,0.5725980997085571,-0.15053173899650574,0.6703704595565796,0.8560333847999573,0.9088114500045776,0.8105250000953674,-0.28586843609809875
8,15.238905906677246,0.9616256952285767,1.0562113523483276,-1.0106571912765503,-0.15173444151878357,-0.5424217581748962,0.531062126159668,-0.1972638964653015,0.5587328672409058,0.8572919368743896,0.8566354513168335,0.6937038898468018,-0.22870805859565735
9,14.648711204528809,0.7857598066329956,1.0562113523483276,-1.0214868783950806,-0.1524108499288559,-0.5227617025375366,0.4921114146709442,-0.2175031453371048,0.45639264583587646,0.8386445641517639,0.7942678928375244,0.5828935503959656,-0.16872552037239075
