epoch,E,delta,rho,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18,u_19
# n,30
# n_clamped,10
# n_tracked,10
# Lg,15.0
# seed,0
# lr,0.1
# num_epochs,100
# log_every,1
1,130.59078979492188,7.175253868103027,1.5065125226974487,-1.3573490381240845,1.1833909749984741,0.09930616617202759,0.4821246564388275,0.9596076607704163,1.2414084672927856,0.25514906644821167,1.059721827507019,1.619201421737671,0.3684135377407074
2,79.73668670654297,5.331357955932617,1.6236538887023926,-1.219884991645813,0.4674023389816284,-0.21078185737133026,0.8450956344604492,0.6138735413551331,1.3220247030258179,0.6057687401771545,1.1492966413497925,1.6321985721588135,-0.18201495707035065
3,65.08796691894531,4.663207530975342,1.784838318824768,-1.2533773183822632,0.019751042127609253,-0.518349289894104,0.9953604340553284,0.27055463194847107,1.337260127067566,0.9240027070045471,1.3166768550872803,1.5556973218917847,-0.5086186528205872
4,55.043357849121094,4.014029502868652,1.5843141078948975,-1.4027987718582153,-0.2108893245458603,-0.7665082216262817,1.003248691558838,-0.03906494379043579,1.2474780082702637,1.2300004959106445,1.4667798280715942,1.4619132280349731,-0.5982299447059631
5,46.56207275390625,3.2266790866851807,1.5843141078948975,-1.6017131805419922,-0.30775201320648193,-0.9400589466094971,0.9712601900100708,-0.24644285440444946,1.1217775344848633,1.4523433446884155,1.5575544834136963,1.330013632774353,-0.5362837910652161
6,40.63346862792969,2.590508460998535,1.5843141078948975,-1.827200174331665,-0.34387701749801636,-1.021378517150879,0.9416410326957703,-0.3598577082157135,0.9545864462852478,1.6006687879562378,1.5948253870010376,1.180550217628479,-0.4207112789154053
7,37.61422348022461,2.047640562057495,1.5843141078948975,-2.0502266883850098,-0.3358597755432129,-1.0385936498641968,0.9121467471122742,-0.3968880772590637,0.7761945128440857,1.6953458786010742,1.5836611986160278,1.0101438760757446,-0.2764527499675751
8,36.023189544677734,1.777464747428894,1.5843141078948975,-2.2501068115234375,-0.2950611412525177,-1.011771559715271,0.8760915994644165,-0.37680038809776306,0.6063706278800964,1.7503107786178589,1.530208706855774,0.8250309824943542,-0.1214107871055603
9,35.11864471435547,1.7218472957611084,1.5231164693832397,-2.4128620624542236,-0.22923028469085693,-0.955210268497467,0.8270902037620544,-0.31785377860069275,0.4565155804157257,1.7750898599624634,1.4414006471633911,0.6356933116912842,0.031426504254341125
