target_name,method,step_lr,direction_norm_full_mean,direction_norm_full_std,direction_norm_full_min,direction_norm_full_max,direction_norm_forward_mean,direction_norm_forward_std,direction_norm_forward_min,direction_norm_forward_max,free_mse_decrease_raw_mean,free_mse_decrease_raw_std,free_mse_decrease_raw_min,free_mse_decrease_raw_max,free_mse_decrease_bp_normed_mean,free_mse_decrease_bp_normed_std,free_mse_decrease_bp_normed_min,free_mse_decrease_bp_normed_max,free_mse_decrease_raw_positive_rate_mean,free_mse_decrease_raw_positive_rate_std,free_mse_decrease_raw_positive_rate_min,free_mse_decrease_raw_positive_rate_max,feedforward_ce_decrease_raw_mean,feedforward_ce_decrease_raw_std,feedforward_ce_decrease_raw_min,feedforward_ce_decrease_raw_max,feedforward_ce_decrease_bp_normed_mean,feedforward_ce_decrease_bp_normed_std,feedforward_ce_decrease_bp_normed_min,feedforward_ce_decrease_bp_normed_max
direct_plus,bp,0.0001,0.466151495774587,0.12288701621157383,0.3339143047730128,0.5768370380004247,0.466151495774587,0.12288701621157383,0.3339143047730128,0.5768370380004247,2.4447838465372722e-05,1.2273653089217698e-05,1.0281801223754885e-05,3.189841906229655e-05,2.4447838465372722e-05,1.2273653089217698e-05,1.0281801223754885e-05,3.189841906229655e-05,1.0,0.0,1.0,1.0,2.452399995591905e-05,1.2127361843974737e-05,1.1444091796875e-05,3.539522488911947e-05,2.452399995591905e-05,1.2127361843974737e-05,1.1444091796875e-05,3.539522488911947e-05
direct_plus,dplus,0.0001,0.07181177702214976,0.006194771963957977,0.0652072218557198,0.0774931485454241,0.0717102674146493,0.006174856966497882,0.0651356180508931,0.0773870162665844,6.486972173055013e-06,1.1886523851659673e-06,5.265076955159505e-06,7.639328638712565e-06,4.259579711490208e-05,1.3665496242654677e-05,2.6971101760864254e-05,5.231797695159912e-05,1.0,0.0,1.0,1.0,2.715322706434462e-07,1.0714722797184148e-07,1.4901161193847656e-07,3.476937611897787e-07,2.1921263800726997e-06,1.2125038363167717e-06,8.54333241780599e-07,3.2186508178710938e-06
direct_plus,ep,0.0001,1.326500998602973,0.1446065151507605,1.1713051398595171,1.4574536681175232,0.863162659936481,0.07442323740568224,0.7838805119196574,0.9315191308657328,8.47412480248116e-05,1.7275473811021298e-05,6.749232610066731e-05,0.0001020431518554,2.9954645368787973e-05,9.321588276260998e-06,1.925230026245117e-05,3.629922866821289e-05,1.0,0.0,1.0,1.0,3.635883331298828e-06,1.3989466768121246e-06,2.056360244750977e-06,4.718701044718425e-06,1.5132957034640842e-06,8.497775889685652e-07,5.861123402913412e-07,2.2550423940022788e-06
gradual_100_0p01_plus,bp,0.0001,0.466151495774587,0.12288701621157383,0.3339143047730128,0.5768370380004247,0.466151495774587,0.12288701621157383,0.3339143047730128,0.5768370380004247,2.4447838465372722e-05,1.2273653089217696e-05,1.0281801223754885e-05,3.189841906229655e-05,2.4447838465372722e-05,1.2273653089217696e-05,1.0281801223754885e-05,3.189841906229655e-05,1.0,0.0,1.0,1.0,2.452399995591905e-05,1.2127361843974735e-05,1.1444091796875e-05,3.539522488911947e-05,2.452399995591905e-05,1.2127361843974735e-05,1.1444091796875e-05,3.539522488911947e-05
gradual_100_0p01_plus,dplus,0.0001,0.0368783536056677,0.001645520170442986,0.0351400338113307,0.038411907851696,0.0340231779134935,0.0004983061074200487,0.0334507270405689,0.0343597419559955,3.0183129840426977e-06,3.479892935518375e-07,2.662340799967448e-06,3.3577283223470053e-06,3.871487246619331e-05,1.1647526359026429e-05,2.529720465342204e-05,4.622340202331543e-05,1.0,0.0,1.0,1.0,9.602970547146269e-08,5.7354596176706336e-08,2.9802322387695312e-08,1.2914339701334637e-07,1.708666483561198e-06,8.780312456283709e-07,6.953875223795573e-07,2.2451082865397134e-06
gradual_100_0p01_plus,ep,0.0001,95.84896130032011,7.661501223044218,87.78556823730469,103.03262074788412,48.69599956936307,1.2950019598392684,47.25321833292643,49.75770886739095,0.0045851568380991005,0.001041355152470358,0.0036034534374872,0.0056773523489634,2.2626585430569117e-05,7.680705584641533e-06,1.375873883565267e-05,2.7179718017578125e-05,1.0,0.0,1.0,1.0,0.0001813371976216167,7.115121718275391e-05,9.918212890625e-05,0.0002230505148569,1.062949498494466e-06,6.1807394942849e-07,3.5762786865234375e-07,1.5099843343098958e-06
nudge_0p001_plus,bp,0.0001,0.466151495774587,0.12288701621157384,0.3339143047730128,0.5768370380004247,0.466151495774587,0.12288701621157384,0.3339143047730128,0.5768370380004247,2.4447838465372722e-05,1.2273653089217698e-05,1.0281801223754885e-05,3.189841906229655e-05,2.4447838465372722e-05,1.2273653089217698e-05,1.0281801223754885e-05,3.189841906229655e-05,1.0,0.0,1.0,1.0,2.452399995591905e-05,1.2127361843974737e-05,1.1444091796875e-05,3.539522488911947e-05,2.452399995591905e-05,1.2127361843974737e-05,1.1444091796875e-05,3.539522488911947e-05
nudge_0p001_plus,dplus,0.0001,0.0032890776767291667,0.0004599071876482324,0.0027959404202799,0.0037063107592985,0.0014248187330344001,0.00037978800054976693,0.0009881038567982,0.0016778029385022,1.0761949751112196e-07,4.8242682497810873e-08,5.463759104410808e-08,1.4901161193847656e-07,1.7343295945061575e-05,5.256589416456313e-06,1.29242738087972e-05,2.3156404495239254e-05,0.9444444444444445,0.09622504486493759,0.8333333333333334,1.0,0.0,9.934107462565104e-09,-9.934107462565104e-09,9.934107462565104e-09,4.5696894327799486e-07,6.308744871341161e-07,-9.934107462565105e-08,1.142422358194987e-06
nudge_0p001_plus,ep,0.0001,135.15412394205728,5.192859192194095,129.72692489624023,140.07564544677734,56.036882400512695,0.9378422270635194,55.03717803955078,56.89727783203125,0.0015361573961045333,0.0007247777798614221,0.0009534905354181,0.0023477574189503,5.4720375272962775e-06,2.9422083284900116e-06,2.473592758178711e-06,8.354584376017252e-06,1.0,0.0,1.0,1.0,6.723735067577888e-05,5.725624019068632e-05,3.0110279719034832e-05,0.0001331766446431,2.814663781060113e-07,3.116735515207746e-07,4.967053731282552e-08,6.357828776041666e-07
nudge_0p01_plus,bp,0.0001,0.466151495774587,0.12288701621157387,0.3339143047730128,0.5768370380004247,0.466151495774587,0.12288701621157387,0.3339143047730128,0.5768370380004247,2.4447838465372722e-05,1.2273653089217698e-05,1.0281801223754885e-05,3.189841906229655e-05,2.4447838465372722e-05,1.2273653089217698e-05,1.0281801223754885e-05,3.189841906229655e-05,1.0,0.0,1.0,1.0,2.452399995591905e-05,1.2127361843974735e-05,1.1444091796875e-05,3.539522488911947e-05,2.452399995591905e-05,1.2127361843974735e-05,1.1444091796875e-05,3.539522488911947e-05
nudge_0p01_plus,dplus,0.0001,0.011215562363051665,0.0008607756470793797,0.0104343875621755,0.0121383707349499,0.0108080291603174,0.0008406998697973656,0.010184538240234,0.011764150733749,9.702311621771917e-07,1.7668567196467325e-07,8.145968119303385e-07,1.1622905731201172e-06,4.1026208135816785e-05,1.2797926323606565e-05,2.632041772206624e-05,4.964073499043783e-05,1.0,0.0,1.0,1.0,3.311369154188368e-08,3.0349199606020194e-08,0.0,5.960464477539064e-08,1.990132861667209e-06,1.0591050717880666e-06,7.947285970052084e-07,2.8113524119059243e-06
