target_name,target_mode,beta_sign,seed,step_lr,method,direction_norm_full,direction_norm_forward,free_mse_decrease_raw,free_mse_decrease_bp_normed,free_mse_decrease_raw_positive_rate,feedforward_ce_decrease_raw,feedforward_ce_decrease_bp_normed
nudge_0p001_plus,nudge_0.001,plus,2025,0.0001,bp,0.4877031445503235,0.4877031445503235,3.189841906229655e-05,3.189841906229655e-05,1.0,2.6732683181762692e-05,2.6732683181762692e-05
nudge_0p001_plus,nudge_0.001,plus,2025,0.0001,ep,140.07564544677734,56.176191329956055,0.0023477574189503,8.354584376017252e-06,1.0,0.0001331766446431,6.357828776041666e-07
nudge_0p001_plus,nudge_0.001,plus,2025,0.0001,dplus,0.0033649818506091,0.0016085494038028,1.4901161193847656e-07,2.3156404495239254e-05,1.0,9.934107462565104e-09,1.142422358194987e-06
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.001,bp,0.5768370380004247,0.5768370380004247,0.0003110269705454,0.0003110269705454,1.0,0.0003535151481628,0.0003535151481628
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.001,ep,96.72869491577148,49.75770886739095,0.0430035640796025,0.0002696017424265,1.0,0.0021977325280507,1.5050172805786133e-05
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.001,dplus,0.038411907851696,0.0342590647439161,3.0587116877237953e-05,0.0004619906346003,1.0,1.3113021850585938e-06,2.242128054300944e-05
nudge_0p001_plus,nudge_0.001,plus,2025,0.001,bp,0.4877031445503235,0.4877031445503235,0.0003181397914886,0.0003181397914886,1.0,0.0002670188744862,0.0002670188744862
nudge_0p001_plus,nudge_0.001,plus,2025,0.001,ep,140.07564544677734,56.176191329956055,0.02272230386734,8.373459180196126e-05,1.0,0.0012798408667246,6.447235743204753e-06
nudge_0p001_plus,nudge_0.001,plus,2025,0.001,dplus,0.0033649818506091,0.0016085494038028,1.5695889790852864e-06,0.0002315441767374,1.0,4.967053731282552e-08,1.1374553044637045e-05
direct_plus,direct_clamp,plus,7,0.001,bp,0.5768370380004247,0.5768370380004247,0.0003110269705454,0.0003110269705454,1.0,0.0003535151481628,0.0003535151481628
direct_plus,direct_clamp,plus,7,0.001,ep,1.3507441878318789,0.874088337024053,0.0008463710546493,0.0003629624843597,1.0,4.729628562927246e-05,2.2590160369873047e-05
direct_plus,direct_clamp,plus,7,0.001,dplus,0.0727349606653054,0.0726081679264704,6.568928559621175e-05,0.0005233883857727,1.0,3.6160151163736978e-06,3.238519032796224e-05
nudge_0p1_plus,nudge_0.1,plus,42,0.001,bp,0.3339143047730128,0.3339143047730128,0.000102753440539,0.000102753440539,1.0,0.0001147389411926,0.0001147389411926
nudge_0p1_plus,nudge_0.1,plus,42,0.001,ep,9.801322778066,6.417475620905559,0.005390445391337,0.000184749563535,1.0,0.0001643896102905,5.841255187988281e-06
nudge_0p1_plus,nudge_0.1,plus,42,0.001,dplus,0.0533709687491258,0.0532949889699618,4.308422406514486e-05,0.0002697209517161,1.0,1.3113021850585938e-06,8.801619211832682e-06
nudge_0p01_plus,nudge_0.01,plus,42,0.001,bp,0.3339143047730128,0.3339143047730128,0.000102753440539,0.000102753440539,1.0,0.0001147389411926,0.0001147389411926
