target_name,pair,scope,cosine_mean,cosine_std,cosine_min,cosine_max,norm_ratio_mean,norm_ratio_std,norm_ratio_min,norm_ratio_max,sign_agreement_mean,sign_agreement_std,sign_agreement_min,sign_agreement_max
direct_plus,dplus_vs_bp,forward,0.07597568382819493,0.0031871177876811735,0.0727520864456892,0.0798018593341112,0.17052932982468116,0.031002027391289298,0.1330245167789714,0.2013833427189061,0.5684910549057854,0.019932187894990502,0.5429874360561371,0.5842075248559316
gradual_100_0p01_plus,dplus_vs_bp,forward,0.06418121150798263,0.0030221798842599667,0.0604458469897508,0.0670247282832861,0.08171006127637893,0.018278044174926348,0.0628706971535478,0.1034349208318917,0.5303053193622166,0.019054539679063856,0.5060433149337769,0.5459521015485128
nudge_0p001_plus,dplus_vs_bp,forward,0.03631495513642823,0.030460137938230623,-0.0027075336935619,0.0600344091653823,0.0035674741044868,0.00150972921078187,0.0018216715249451,0.0051908638200906,0.5013302746746274,0.016652267471025786,0.4829152276118596,0.5201444129149119
nudge_0p01_plus,dplus_vs_bp,forward,0.0711360501332415,0.0014705236215995748,0.0699684588859478,0.0730162244290113,0.025883709791276466,0.005555867064390563,0.019206397334354,0.0314905585404347,0.5063600457376903,0.01819505708223208,0.4837894191344579,0.5232800940672556
nudge_0p01_plusminus,dplus_vs_bp,forward,-0.15737681049439642,0.061240033427487565,-0.2336296737194061,-0.1011657789349556,0.0013453895416640001,0.0007000802869226298,0.0005645039645438,0.0021299183573252,0.49725705219639676,0.01838176618476825,0.4770429382721583,0.518129974603653
nudge_0p1_plus,dplus_vs_bp,forward,0.07499903316299117,0.0032709993418495687,0.0720480401068925,0.0790904474755128,0.13931294616159354,0.025712248772746815,0.1081373674467107,0.1647730270480384,0.5468453003300561,0.02344269771556094,0.5165906548500061,0.5626377662022909
direct_plus,dplus_vs_ep,forward,0.9970690409342448,4.580679666221694e-05,0.997035930554072,0.9971280296643577,0.08307920428665233,1.2146499585333985e-05,0.0830673661096568,0.0830940292714715,0.987894313202964,0.0019965764194909575,0.9853857656319936,0.9896617035071056
gradual_100_0p01_plus,dplus_vs_ep,forward,0.8465615544054242,0.00955215057763861,0.8353061079978943,0.8565528392791748,0.0006989778792609,8.792854999300492e-06,0.0006886074549067,0.0007081610406415,0.9830989241600037,0.0008875336271772223,0.9819650053977966,0.98380841811498
nudge_0p001_plus,dplus_vs_ep,forward,0.38036232524447966,0.051449198762311105,0.314914345741272,0.4228942990303039,2.5526440315542534e-05,6.3618294976127694e-06,1.7388177749622103e-05,3.0553488610552094e-05,0.9902444945441352,0.0017451010987790513,0.9880463480949402,0.991771161556244
nudge_0p01_plus,dplus_vs_ep,forward,0.9275934199492136,0.009772635073851284,0.9176954726378124,0.9393176039059956,0.0007700817958866333,8.792655928895014e-06,0.0007609231391881,0.0007804686842626,0.9898327423466576,0.0011698961585276941,0.9883314073085784,0.99072594443957
nudge_0p01_plusminus,dplus_vs_ep,forward,-0.8290147698587842,0.17048148025894563,-0.9406556487083436,-0.6089318742354711,4.619739100501397e-05,3.1418630455556586e-05,1.4895917957963146e-05,8.418814237728328e-05,0.5167426698737674,0.025228746773138466,0.484302540620168,0.5354807873566946
nudge_0p1_plus,dplus_vs_ep,forward,0.996698389450709,0.00027064486819562423,0.99648912747701,0.9970453381538392,0.0083048389260052,2.681448229947419e-06,0.0083019136597743,0.0083079046245813,0.987653589910931,0.0022372939346403256,0.9860509037971495,0.9905358950297036
direct_plus,ep_vs_bp,forward,0.08058908767998213,0.004634752379075716,0.0773843855907519,0.0865673472483952,2.0525632083619927,0.3728758273031888,1.6014139132909986,2.4235466362427824,0.5694602661662631,0.018524755186954806,0.545743058125178,0.583979457616806
gradual_100_0p01_plus,ep_vs_bp,forward,0.07007800052977267,0.0066601918546784645,0.0618932023644447,0.0764517377441128,116.63859478580588,24.665934948821693,91.32665839080708,146.02745994037852,0.5314835773573982,0.017513860655970888,0.5091980149348577,0.5459330826997757
nudge_0p001_plus,ep_vs_bp,forward,0.021448409340033867,0.011381195287309447,0.0114743982752164,0.0357790670047203,134.41987766549536,29.577627165660324,104.46807130426434,169.9070462315765,0.5020271009869046,0.01580727509585814,0.4846826195716858,0.5200113852818807
nudge_0p01_plus,ep_vs_bp,forward,0.0707621929339236,0.0046390749650442945,0.0648114122450351,0.0743227563798427,33.580405466422185,7.063007855367921,25.247175507878374,40.9525716931018,0.5061763475338618,0.017290183106323347,0.4846256126960118,0.5219878256320953
nudge_0p01_plusminus,ep_vs_bp,forward,0.0772836173160208,0.004691552897141046,0.0739373316367467,0.0833288437376419,32.504438988035716,5.80620625328219,25.44286206389132,38.21252791808656,0.5755986140833961,0.019711532102276087,0.5579627354939779,0.6003040472666422
nudge_0p1_plus,ep_vs_bp,forward,0.07807888711492217,0.004398989179693579,0.0751131872336069,0.0837560606499513,16.774388073166836,3.0932568260220843,13.025734650084772,19.840769890345445,0.5467502723137537,0.02210497757328137,0.5183580269416174,0.5634359419345856
direct_plus,dplus_vs_bp,full,0.07586782363553836,0.003167818001295596,0.0726512242108583,0.0796633486946423,0.170760522689035,0.030997190359762363,0.1332577049854575,0.2016026825914556,0.2842455274528927,0.009966093947495284,0.2714937180280685,0.2921037624279658
gradual_100_0p01_plus,dplus_vs_bp,full,0.059285697113308604,0.004147278927156536,0.0539327605317036,0.062059405259788,0.08803964448058323,0.017170627983180933,0.0705179845176136,0.1085597965419137,0.2651526596811083,0.009527269839531928,0.2530216574668884,0.2729760507742564
nudge_0p001_plus,dplus_vs_bp,full,0.019515749206119735,0.015554924813431755,-0.0005223349823306,0.0306754025320212,0.007702647728979867,0.0007955837936773556,0.006814994109885,0.008593962253815,0.2506651373373137,0.008326133735512858,0.2414576138059298,0.2600722064574559
nudge_0p01_plus,dplus_vs_bp,full,0.06852344816757566,0.0004400523842770558,0.0682364211728175,0.0690915429343779,0.026788469221399065,0.005397356576024246,0.0203093131373442,0.0322483456307144,0.25318002286884517,0.00909752854111606,0.2418947095672289,0.2616400470336278
nudge_0p01_plusminus,dplus_vs_bp,full,-0.0275478214025497,0.012426783816682732,-0.043590729124844,-0.0195209922579427,0.006884522397893833,2.062047437345779e-05,0.0068598182921971,0.0069054642892463,0.24862852609819833,0.009190883092384172,0.2385214691360791,0.2590649873018265
nudge_0p1_plus,dplus_vs_bp,full,0.07485691126849914,0.0032382101488983165,0.0719181640694538,0.0789012275636196,0.13956321948148884,0.025700169476706863,0.1083990748089066,0.1650053351257017,0.27342265016502804,0.011721348857780485,0.258295327425003,0.2813188831011454
direct_plus,dplus_vs_ep,full,0.6736368934313456,0.012399585813413626,0.6626955568790436,0.6892269750436147,0.054235462398725266,0.0011511436553926849,0.0531807544564549,0.0556695180912509,0.9009090132183499,0.003986355897986266,0.8973013858000437,0.9058912793795268
gradual_100_0p01_plus,dplus_vs_ep,full,0.5137799713346692,0.019717129267100432,0.48832568526268,0.5266335010528564,0.0003859373842176,2.014539525409457e-05,0.0003600040524381,0.0004006049071091,0.9098979830741882,0.014423499010864297,0.8915906151135763,0.9219973186651864
nudge_0p001_plus,dplus_vs_ep,full,0.3875956071747673,0.020203994345287146,0.3632322351137797,0.4078439722458521,2.4292507492193807e-05,2.5978054600168795e-06,2.1532437300883466e-05,2.732246710563667e-05,0.9285062419043646,0.007383458227994348,0.9222633639971416,0.937865803639094
nudge_0p01_plus,dplus_vs_ep,full,0.5766573746999105,0.015345062208619732,0.5574837426344553,0.5905589958031973,0.0004520164346895,1.4911651182236773e-05,0.0004333669391783,0.0004654756611437,0.9273089898957144,0.007638384853817006,0.9210566182931264,0.9370391170183816
nudge_0p01_plusminus,dplus_vs_ep,full,-0.11382168893598843,0.06693512542698586,-0.1915577078859011,-0.0422700094059109,0.00013611136452523333,2.754927289199876e-05,0.0001152942278497,0.0001714936823126,0.5058849487039777,0.023589884226306493,0.4779646396636963,0.5303781727949778
nudge_0p1_plus,dplus_vs_ep,full,0.6585882703463236,0.013707798234360705,0.645987461010615,0.6756494541962942,0.005288045961391867,0.00012741050151425057,0.0051674018975214,0.0054451954287974,0.9168598519431219,0.0037931327439872254,0.9122576713562012,0.9206100006898243
direct_plus,ep_vs_bp,full,0.05243066988057556,0.002993120192886945,0.0492801188180844,0.05594346486032,3.1411289908916076,0.5346539205112699,2.4719775397796138,3.6223190745562976,0.28473013308313155,0.009262377593477403,0.272871529062589,0.291989728808403
gradual_100_0p01_plus,ep_vs_bp,full,0.03546033313290937,0.0017596738424800272,0.0332317283997933,0.0369561531891425,228.07768378324127,42.31579543092227,177.44857894747506,271.1630967975143,0.265741788678699,0.008756930327985468,0.2545990074674288,0.2729665413498878
nudge_0p001_plus,ep_vs_bp,full,0.008762628493261366,0.004402996438092587,0.0048113899926344,0.014277139911428,323.50070530457856,67.5505629065461,249.22132467302583,400.2103134365918,0.25101355049345225,0.007903637547929034,0.2423413097858429,0.2600056926409403
nudge_0p01_plus,ep_vs_bp,full,0.03986020872576363,0.001887055318324342,0.0382121074944734,0.042237978739043,59.242775088131395,11.725961816828221,44.41707545149788,69.3054736522043,0.2530881737669309,0.008645091553161642,0.2423128063480059,0.2609939128160476
nudge_0p01_plusminus,ep_vs_bp,full,0.048042262386944534,0.003983564159527482,0.0438888712475697,0.0527453596393267,52.24912828615891,9.494664814072086,40.15129270241787,60.00614606223704,0.287799307041698,0.00985576605113808,0.2789813677469889,0.3001520236333211
nudge_0p1_plus,ep_vs_bp,full,0.04950909119927214,0.0027762919860272782,0.0465898138160506,0.0527695938944816,26.326119374518345,4.534003935902467,20.62051426637186,30.3107533541552,0.27337513615687686,0.011052488786640686,0.2591790134708087,0.2817179709672928
