target_name,pair,cosine,norm_ratio,sign_agreement
direct_plus,dplus_vs_bp,0.07597568382819493,0.17052932982468116,0.5684910549057854
gradual_100_0p01_plus,dplus_vs_bp,0.06418121150798263,0.08171006127637893,0.5303053193622166
nudge_0p001_plus,dplus_vs_bp,0.03631495513642823,0.0035674741044868,0.5013302746746274
nudge_0p01_plus,dplus_vs_bp,0.0711360501332415,0.025883709791276466,0.5063600457376903
nudge_0p01_plusminus,dplus_vs_bp,-0.15737681049439642,0.0013453895416640001,0.49725705219639676
nudge_0p1_plus,dplus_vs_bp,0.07499903316299117,0.13931294616159354,0.5468453003300561
direct_plus,dplus_vs_ep,0.9970690409342448,0.08307920428665233,0.987894313202964
gradual_100_0p01_plus,dplus_vs_ep,0.8465615544054242,0.0006989778792609,0.9830989241600037
nudge_0p001_plus,dplus_vs_ep,0.38036232524447966,2.5526440315542534e-05,0.9902444945441352
nudge_0p01_plus,dplus_vs_ep,0.9275934199492136,0.0007700817958866333,0.9898327423466576
nudge_0p01_plusminus,dplus_vs_ep,-0.8290147698587842,4.619739100501397e-05,0.5167426698737674
nudge_0p1_plus,dplus_vs_ep,0.996698389450709,0.0083048389260052,0.987653589910931
direct_plus,ep_vs_bp,0.08058908767998213,2.0525632083619927,0.5694602661662631
gradual_100_0p01_plus,ep_vs_bp,0.07007800052977267,116.63859478580588,0.5314835773573982
nudge_0p001_plus,ep_vs_bp,0.021448409340033867,134.41987766549536,0.5020271009869046
nudge_0p01_plus,ep_vs_bp,0.0707621929339236,33.580405466422185,0.5061763475338618
nudge_0p01_plusminus,ep_vs_bp,0.0772836173160208,32.504438988035716,0.5755986140833961
nudge_0p1_plus,ep_vs_bp,0.07807888711492217,16.774388073166836,0.5467502723137537
