objective_name,target_name,regularizer_pass,direction_score,dplus_vs_bp_forward_cosine_mean,dplus_vs_bp_forward_sign_agreement_mean,dplus_vs_bp_forward_norm_ratio_mean,dplus_vs_ep_forward_cosine_mean,dplus_vs_ep_forward_sign_agreement_mean,dplus_vs_ep_forward_norm_ratio_mean,dplus_raw_free_mse_decrease_mean,dplus_bp_scaled_free_mse_decrease_mean,dplus_ep_scaled_free_mse_decrease_mean,dplus_raw_feedforward_ce_decrease_mean,dplus_bp_scaled_feedforward_ce_decrease_mean,dplus_ep_scaled_feedforward_ce_decrease_mean,dplus_bp_scaled_free_mse_decrease_positive_rate_mean,dplus_ep_scaled_free_mse_decrease_positive_rate_mean
resnorm_layergain_beta_div1,direct_plus,True,0.5762363125880559,0.07623631258805587,0.5684910549057854,7619.366782496406,0.9974635011619991,0.987894313202964,3692.28642089276,0.03210632668601137,0.0004273735814623667,0.0007830527093674666,-0.007859614160325804,2.232193946838379e-05,3.429916169908312e-05,1.0,1.0
layergain_beta_div1,direct_plus,True,0.576131044783526,0.07613104478352596,0.5684910549057854,0.1705307509080123,0.9972550902101728,0.987894313202964,0.08307989758119713,6.510151757134333e-05,0.00042754577265840003,0.0007834119929207,2.8279092576768666e-06,2.2275580300225152e-05,3.4262736638387047e-05,1.0,1.0
resnorm_beta_div1,direct_plus,True,0.5760209514862961,0.07602095148629606,0.5684910549057854,7619.196293696762,0.9971543219354418,0.987894313202964,3692.2058101419952,0.03208236893018083,0.0004265093141131,0.0007814897431267332,-0.008226318491829799,2.2252400716145832e-05,3.419650925530328e-05,1.0,1.0
resnorm_beta_div2,direct_plus,True,0.5760209514862961,0.07602095148629606,0.5684910549057854,7619.196293696762,0.9971543219354418,0.987894313202964,3692.2058101419952,0.03208236893018083,0.0004265093141131,0.0007814897431267332,-0.0082263184918298,2.2252400716145832e-05,3.419650925530328e-05,1.0,1.0
beta_div1,direct_plus,True,0.5759756838281949,0.07597568382819493,0.5684910549057854,0.17052932982468116,0.9970690409342448,0.987894313202964,0.08307920428665233,6.497568554348416e-05,0.0004267228974235667,0.0007819020085864333,2.8345319959852436e-06,2.222922113206652e-05,3.4183263778686523e-05,1.0,1.0
beta_div2,direct_plus,True,0.5759756838281949,0.07597568382819493,0.5684910549057854,0.17052932982468116,0.9970690409342448,0.987894313202964,0.08307920428665233,6.497568554348416e-05,0.0004267228974235667,0.0007819020085864333,2.8345319959852436e-06,2.222922113206652e-05,3.4183263778686523e-05,1.0,1.0
raw,direct_plus,True,0.5759756838281949,0.07597568382819493,0.5684910549057854,0.17052932982468116,0.9970690409342448,0.987894313202964,0.08307920428665233,6.497568554348416e-05,0.0004267228974235667,0.0007819020085864333,2.8345319959852427e-06,2.222922113206652e-05,3.4183263778686523e-05,1.0,1.0
